iter	Logloss
0	0.604808665
1	0.5292379307
2	0.4757821831
3	0.4158327022
4	0.3737228407
5	0.3442069523
6	0.3152675349
7	0.2995108601
8	0.2806476542
9	0.2690244533
10	0.2562423175
11	0.2466569243
12	0.237320029
13	0.2294227147
14	0.2252930462
15	0.2198223369
16	0.2167957731
17	0.2142656582
18	0.2105483831
19	0.2067170703
20	0.2044710748
21	0.199753064
22	0.1968724207
23	0.1957911502
24	0.1937490587
25	0.1919887974
26	0.1858925182
27	0.1847084575
28	0.182599832
29	0.1805388519
30	0.1796095972
31	0.1787303117
32	0.1779202756
33	0.1771567548
34	0.1765006517
35	0.1730193821
36	0.1713503355
37	0.1698950188
38	0.168013019
39	0.1656397646
40	0.1637530223
41	0.1623807369
42	0.1612723412
43	0.1603150335
44	0.1580572219
45	0.1571535127
46	0.1554438803
47	0.1543752417
48	0.1536232033
49	0.1528920588
50	0.1521382773
51	0.1515845866
52	0.1504564309
53	0.1492838504
54	0.1478851662
55	0.1470842475
56	0.1463859506
57	0.1459010623
58	0.1452260655
59	0.1442355521
60	0.1434394634
61	0.1429311256
62	0.1420717219
63	0.1414195984
64	0.1410568259
65	0.1401804516
66	0.1394896654
67	0.1388697681
68	0.1381876737
69	0.1376681241
70	0.1371019123
71	0.1365864722
72	0.1361491903
73	0.1357717896
74	0.1352319569
75	0.134473309
76	0.1337895064
77	0.1332700444
78	0.1324831879
79	0.1320306193
80	0.1313622323
81	0.1301229676
82	0.1295607154
83	0.1288541841
84	0.1283376723
85	0.1279399355
86	0.1271422721
87	0.1261455984
88	0.125833976
89	0.1251786363
90	0.1245361505
91	0.1242090718
92	0.1237835107
93	0.122988908
94	0.1226214779
95	0.1222186541
96	0.1212824526
97	0.1207459159
98	0.1199155426
99	0.1195060526
100	0.119132149
101	0.1186172262
102	0.1176510457
103	0.1169532631
104	0.1163269368
105	0.1157407129
106	0.1155825094
107	0.1150676055
108	0.1144660278
109	0.1138847528
110	0.1137564031
111	0.1131519594
112	0.1116637119
113	0.1111954028
114	0.110313425
115	0.1099019393
116	0.1092166011
117	0.1086396832
118	0.107286164
119	0.1066878353
