iter	Passed	Remaining
0	3	467
1	6	373
2	8	335
3	11	325
4	13	309
5	15	297
6	18	290
7	20	283
8	22	279
9	24	272
10	27	269
11	30	270
12	32	265
13	34	260
14	38	268
15	42	278
16	46	284
17	49	278
18	51	271
19	53	265
20	55	259
21	57	253
22	59	248
23	60	243
24	62	239
25	64	234
26	66	230
27	69	227
28	71	223
29	73	219
30	75	216
31	77	212
32	79	209
33	81	205
34	83	202
35	85	199
36	87	196
37	89	193
38	91	190
39	93	187
40	96	185
41	99	184
42	103	185
43	106	183
44	108	181
45	111	178
46	113	176
47	115	173
48	118	171
49	120	168
50	123	166
51	125	164
52	128	162
53	130	159
54	133	157
55	135	154
56	138	152
57	142	151
58	144	149
59	146	146
60	148	143
61	150	140
62	152	137
63	154	135
64	156	132
65	158	129
66	160	127
67	162	124
68	164	121
69	166	119
70	168	116
71	170	113
72	172	111
73	174	108
74	177	106
75	179	103
76	181	101
77	183	98
78	185	96
79	187	93
80	189	91
81	191	88
82	193	86
83	195	83
84	197	81
85	199	79
86	201	76
87	203	74
88	205	71
89	207	69
90	210	67
91	212	64
92	214	62
93	216	59
94	218	57
95	220	55
96	222	52
97	224	50
98	226	48
99	228	45
100	230	43
101	232	41
102	234	38
103	236	36
104	239	34
105	241	31
106	243	29
107	245	27
108	247	24
109	249	22
110	251	20
111	253	18
112	255	15
113	257	13
114	259	11
115	261	9
116	263	6
117	265	4
118	267	2
119	269	0
