project_id,sanction_amount,released_amount,expenditure_amount,estimated_cost,unspent_amount,cost_to_sanction_ratio,sanction_to_estimate_ratio,release_to_sanction_ratio,expenditure_to_release_ratio,expenditure_to_sanction_ratio,balance_to_sanction_ratio,balance_to_release_ratio,cost_overrun_amount,cost_overrun_percentage,revised_estimate_ratio,tender_to_estimate_ratio,actual_to_tender_ratio,payment_to_work_order_ratio,payment_to_completion_ratio,payment_before_progress_ratio,payment_concentration_index,largest_payment_percentage,largest_payment_amount,payment_count,payment_velocity,sor_deviation_ratio,peer_cost_deviation_zscore,utilization_ratio,monthly_spending_variance,monthly_spending_zscore,quarterly_spending_zscore,round_amount_flag,repeated_amount_flag,rapid_payment_sequence_flag,planned_duration_days,actual_duration_days,delay_days,delay_ratio,extension_count,days_from_sanction_to_work_order,days_from_work_order_to_first_payment,days_from_work_order_to_first_progress,days_between_payments,payment_frequency,payment_acceleration,progress_acceleration,progress_deceleration,time_since_last_payment,time_since_last_inspection,time_since_last_progress_update,status_change_frequency,status_reversal_count,extension_frequency,extension_duration_total,project_velocity,financial_velocity,physical_velocity,velocity_mismatch,financial_physical_gap,physical_progress,financial_progress,contractor_total_projects,contractor_completed_projects,contractor_delayed_projects,contractor_abandoned_projects,contractor_total_value,contractor_average_project_value,contractor_max_project_value,contractor_win_rate,contractor_repeat_winner_rate,contractor_single_bid_win_rate,contractor_competitor_count,contractor_avg_delay,contractor_avg_cost_overrun,contractor_avg_payment_velocity,contractor_irregularity_score,contractor_state_count,contractor_district_count,contractor_constituency_count,contractor_project_concentration,contractor_client_concentration,contractor_agency_count,contractor_agency_repeat_rate,contractor_agency_win_rate,contractor_district_repeat_rate,contractor_constituency_repeat_rate,contractor_pair_frequency,agency_contractor_network_density,contractor_market_share,contractor_capacity_strain,contractor_past_irregularity_rate,bid_count,single_bid_flag,lowest_bid_deviation,second_lowest_bid_deviation,winning_vs_second_bid_ratio,bid_spread,bid_variance,bid_stddev,bidder_concentration,bidder_repeat_participation,new_bidder_flag,new_contractor_flag,incumbent_winner_flag,same_contractor_previous_tender_flag,tender_competition_score,procurement_risk_score,tender_extension_count,tender_cancellation_count,tender_reissue_count,winning_bid_deviation,bidder_price_similarity,tender_duration_days,retender_count,repeat_winner_rate,project_density_1km,project_density_5km,project_density_10km,same_location_project_count,same_coordinates_project_count,same_contractor_nearby_projects,same_agency_nearby_projects,nearest_project_distance,average_neighbor_distance,district_project_density,constituency_project_density,contractor_locality_ratio,contractor_outside_district_ratio,infrastructure_gap_score,geo_cluster_density,contractor_district_distance_km,is_high_density_cluster,geo_distance_mismatch_km,district_population,population_density,literacy_rate,poverty_rate,document_completeness_score,document_consistency_score,sanction_document_present,technical_sanction_present,dpr_present,estimate_present,revised_estimate_present,tender_document_present,bid_document_present,work_order_present,invoice_present,payment_voucher_present,measurement_book_present,utilization_certificate_present,completion_certificate_present,inspection_report_present,site_verification_present,photo_count,geotag_photo_count,unique_photo_hash_count,document_date_consistency,document_sequence_consistency,missing_date_count,missing_document_ratio,required_document_count,available_document_count,missing_mb_flag,missing_uc_flag,missing_completion_cert_flag,missing_geotag_flag,eligibility_violation_count,procurement_violation_count,documentation_violation_count,financial_violation_count,timeline_violation_count,payment_violation_count,completion_violation_count,total_rule_violation_count,critical_rule_violation_count,rule_risk_score,fraud_label,risk_level,anomaly_type,investigation_priority,financial_anomaly,procurement_anomaly,contractor_anomaly,geographic_anomaly,timeline_anomaly,progress_anomaly,documentation_anomaly,cost_anomaly
MPLADS-000001,439790.06,413725.48879408324,417602.33,461292.28,22187.72999999998,0.9495492690307735,0.9533869935998062,0.9407340602333832,1.00937056408397,0.9495492690307735,0.050450730969226504,0.053629110608273675,0.0,0.0,1.0,0.9533869935998062,0.9495492690307735,0.9495492917688954,1.0000000239462263,0.0,0.33333333333333337,33.333333333333336,139200.78,3,139200.78,-0.09471207712385737,-0.6943550656528381,0.9495,0.0,-0.6412631057327365,-0.7695157268792837,0,0,1,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.00821917808219178,1144.116,0.2136986301369863,0.00739726027397261,30.0,45.0,20.0,2.0,0.0,0,0,0.2136986301369863,0.22109589041095892,0.2136986301369863,0.007397260273972611,2.700000000000003,78.0,80.7,14.0,11.0,2.0,0.0,3518320.48,483769.06600000005,1099475.15,0.35,0.28,0.0,4,42.0,0.08,139200.78,0.0062,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.512,0.0062,5,0,0.0057,0.045700000000000005,0.96,0.08,0.002,0.045,0.2,0.45,0,0,1,1,0.8333333333333334,0.2,0,0,0,0.0057,0.2,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,4.0280000000000005,3.6252000000000004,0.85,0.15,0.756,0.45,12.5,0,0.0,2030604,402.8,67.0,9.7,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000002,965783.73,761841.0595298756,768979.94,985152.19,196803.79000000004,0.7962237466974101,0.9803396265098898,0.7888319463922587,1.00937056408397,0.7962237466974101,0.20377625330258986,0.25832657289624905,0.0,0.0,1.0,0.9803396265098898,0.7962237466974101,0.7962237466974101,1.0,0.0,0.5,50.0,384489.97,2,384489.97,-0.2194303095443558,-0.4817025790751193,0.7962,0.0,-0.4065269847606659,-0.4878323817127991,0,0,0,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.005479452054794521,2106.7943561643833,0.14876712328767122,0.00657534246575344,30.0,45.0,20.0,2.0,0.0,0,0,0.14876712328767122,0.15534246575342467,0.14876712328767122,0.006575342465753448,2.4000000000000057,54.3,56.7,14.0,11.0,2.0,0.0,7726269.84,1062362.1030000001,2414459.325,0.35,0.28,0.0,4,42.0,0.08,384489.97,0.0086,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.263,0.0086,5,0,-0.0044,0.0356,0.96,0.08,0.002,0.045,0.2,0.45,0,0,1,1,0.8333333333333334,0.2,0,0,0,-0.0044,0.2,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,2.2680000000000002,2.0412000000000003,0.85,0.15,0.299,0.45,12.5,0,0.0,3145599,226.8,93.0,33.0,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000003,2483284.86,1742724.60738578,1759054.92,2404101.6,724229.94,0.7083580898568358,1.0329367361179742,0.7017819966839326,1.00937056408397,0.7083580898568358,0.29164191014316415,0.41557337110560466,0.0,0.0,1.0,1.0329367361179742,0.7083580898568358,0.7083580898568358,1.0,0.0,1.0,100.0,1759054.92,1,1759054.92,-0.2683109066605172,0.11748729644194988,0.7084,0.0,0.9089001010687918,1.09068012128255,0,0,0,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.0027397260273972603,4819.328547945205,0.17835616438356164,0.0,30.0,45.0,20.0,2.0,0.0,0,0,0.17835616438356164,0.16493150684931507,0.17835616438356164,0.01342465753424657,-4.8999999999999915,65.1,60.2,14.0,11.0,2.0,0.0,19866278.88,2731613.346,6208212.149999999,0.35,0.28,0.0,4,42.0,0.08,1759054.92,0.0258,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.294,0.0258,5,0,0.0622,0.1022,0.96,0.08,0.002,0.045,0.2,0.45,0,0,1,1,0.8333333333333334,0.2,0,0,0,0.0622,0.2,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,7.615,6.8535,0.85,0.15,0.248,0.45,12.5,0,0.0,1657765,761.5,71.3,26.4,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000004,574825.66,436155.615851084,440242.64,582852.67,134583.02000000002,0.7658715861779726,0.9862280634315358,0.7587615623336718,1.00937056408397,0.7658715861779726,0.23412841382202737,0.308566518712327,0.0,0.0,1.0,0.9862280634315358,0.7658715861779726,0.7658716035745515,1.0000000227147465,0.0,0.3333333333333333,33.33333333333333,146747.55,3,146747.55,-0.2446759487264595,-0.6806532301306761,0.7659,0.0,-0.6340410201786669,-0.7608492242144003,0,0,1,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.00821917808219178,1206.1442465753423,0.2534246575342466,0.0,30.0,45.0,20.0,2.0,0.0,0,0,0.2534246575342466,0.2512328767123288,0.2534246575342466,0.002191780821917788,-0.7999999999999972,92.5,91.7,14.0,11.0,2.0,0.0,4598605.28,632308.2260000001,1437064.1500000001,0.35,0.28,0.0,3,42.0,0.08,146747.55,0.0842,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.095,0.0842,4,0,-0.0338,0.006200000000000004,0.96,0.08,0.002,0.045,0.25,0.45,0,0,1,1,0.6666666666666666,0.2,0,0,0,-0.0338,0.25,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,7.928999999999999,7.1361,0.85,0.15,0.51,0.45,12.5,0,0.0,564310,792.9,87.1,14.0,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000005,893236.9,807858.3218245744,815428.41,905852.02,77808.48999999999,0.9128915408667062,0.9860737518695383,0.9044166467200071,1.00937056408397,0.9128915408667062,0.08710845913329374,0.09631452433920218,0.0,0.0,1.0,0.9860737518695383,0.9128915408667062,0.9128915408667061,0.9999999999999999,0.0,0.3333333333333333,33.33333333333333,271809.47,3,271809.47,-0.09982161324760305,-0.4535921293420513,0.9129,0.0,-0.5143596351893024,-0.6172315622271628,0,0,1,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.00821917808219178,2234.0504383561642,0.12301369863013699,0.0013698630136986301,30.0,45.0,20.0,2.0,0.0,0,0,0.12301369863013699,0.12438356164383561,0.12301369863013699,0.0013698630136986245,0.5,44.9,45.4,14.0,11.0,2.0,0.0,7145895.2,982560.5900000001,2233092.25,0.35,0.28,0.0,3,42.0,0.08,271809.47,0.0458,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.308,0.0458,4,0,0.0153,0.0553,0.96,0.08,0.002,0.045,0.25,0.45,0,0,1,1,0.6666666666666666,0.2,0,0,0,0.0153,0.25,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,2.846,2.5614000000000003,0.85,0.15,0.716,0.45,12.5,0,0.0,826126,284.6,92.4,37.0,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000006,206867.9,135549.89105925412,136820.07,197891.51,70047.82999999999,0.661388596297444,1.0453601571891589,0.6552485477894546,1.0093705640839699,0.661388596297444,0.33861140370255605,0.5167678812030868,0.0,0.0,1.0,1.0453601571891589,0.661388596297444,0.661388596297444,1.0,0.0,0.3333333333333333,33.33333333333333,45606.69,3,45606.69,-0.3086107130113869,-0.8642834961408011,0.6614,0.0,-0.7308305001723808,-0.876996600206857,0,0,1,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.00821917808219178,374.8495068493151,0.2504109589041096,0.026027397260273973,30.0,45.0,20.0,2.0,0.0,0,0,0.2504109589041096,0.27643835616438356,0.2504109589041096,0.026027397260273977,9.5,91.4,100.9,14.0,11.0,2.0,0.0,1654943.2,227554.69,517169.75,0.35,0.28,0.0,5,42.0,0.08,45606.69,0.0654,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.311,0.0654,6,0,-0.031,0.009000000000000001,0.96,0.08,0.002,0.045,0.16666666666666666,0.45,0,0,1,1,1.0,0.2,0,0,0,-0.031,0.16666666666666666,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,10.895,9.8055,0.85,0.15,0.497,0.45,12.5,0,0.0,1772406,1089.5,76.1,11.7,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000007,781495.03,700119.4755875712,706679.99,791429.57,74815.04000000004,0.904266774415699,0.9874473479680574,0.8958719489074308,1.00937056408397,0.904266774415699,0.09573322558430095,0.10686038970307454,0.0,0.0,1.0,0.9874473479680574,0.904266774415699,0.904266774415699,1.0,0.0,1.0,100.0,706679.99,1,706679.99,-0.1070841717475883,-0.5194062884297579,0.9043,0.0,-0.09819853575435684,-0.11783824290522821,0,0,0,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.0027397260273972603,1936.1095616438356,0.18712328767123287,0.06054794520547947,30.0,45.0,20.0,2.0,0.0,0,0,0.18712328767123287,0.24767123287671233,0.18712328767123287,0.06054794520547946,22.10000000000001,68.3,90.4,14.0,11.0,2.0,0.0,6251960.24,859644.533,1953737.5750000002,0.35,0.28,0.0,2,42.0,0.08,706679.99,0.0168,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.235,0.0168,3,0,0.0004,0.0404,0.96,0.08,0.002,0.045,0.3333333333333333,0.45,0,0,1,1,0.5,0.2,0,0,0,0.0004,0.3333333333333333,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,6.0520000000000005,5.4468000000000005,0.85,0.15,0.279,0.45,12.5,0,0.0,2216128,605.2,78.6,24.4,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,HIGH,DUPLICATE_PROJECT,HIGH,0,0,0,0,0,0,0,0
MPLADS-000008,2734977.59,3712046.3418708327,3746830.31,2650785.29,0.0,1.369967462877822,1.0317612672431873,1.357249271600369,1.00937056408397,1.369967462877822,0.0,0.0,1011852.7200000002,36.99674628778221,1.369967462877822,1.0317612672431873,1.369967462877822,1.369967466534159,1.0000000026689224,0.0,0.25,25.0,936707.58,4,936707.58,0.4134793655807559,1.3204819307372169,1.37,0.0,0.12193258454961517,0.1463191014595382,0,0,1,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.010958904109589041,10265.288547945205,0.12054794520547946,0.2547945205479452,30.0,45.0,20.0,2.0,0.0,0,0,0.12054794520547946,0.37534246575342467,0.12054794520547946,0.2547945205479452,93.0,44.0,137.0,14.0,11.0,2.0,0.0,21879820.72,3008475.349,6837443.975,0.35,0.28,0.0,5,42.0,0.08,936707.58,0.1931,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.161,0.1931,6,0,0.0703,0.11030000000000001,0.96,0.08,0.002,0.045,0.16666666666666666,0.45,0,0,1,1,1.0,0.2,0,0,0,0.0703,0.16666666666666666,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,14.213,12.791699999999999,0.85,0.15,0.795,0.45,12.5,0,0.0,797772,1421.3,90.6,25.9,1.0,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,1,0,1,0,2,1,50.0,1,HIGH,COST,HIGH,1,0,0,0,0,1,0,1
MPLADS-000009,2149073.23,1633625.3588853662,1648933.35,2248875.03,500139.8799999999,0.767276483175029,0.9556214557640405,0.7601534168686128,1.00937056408397,0.767276483175029,0.23272351682497106,0.3061533522846687,0.0,0.0,1.0,0.9556214557640405,0.767276483175029,0.767276483175029,1.0,0.0,1.0,100.0,1648933.35,1,1648933.35,-0.26677413017476553,0.05084211183174579,0.7673,0.0,0.803516287876069,0.9642195454512827,0,0,0,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.0027397260273972603,4517.625616438357,0.15013698630136985,0.01068493150684933,30.0,45.0,20.0,2.0,0.0,0,0,0.15013698630136985,0.1608219178082192,0.15013698630136985,0.010684931506849349,3.9000000000000057,54.8,58.7,14.0,11.0,2.0,0.0,17192585.84,2363980.5530000003,5372683.075,0.35,0.28,0.0,5,42.0,0.08,1648933.35,0.0005,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.214,0.0005,6,0,0.0201,0.0601,0.96,0.08,0.002,0.045,0.16666666666666666,0.45,0,0,1,1,1.0,0.2,0,0,0,0.0201,0.16666666666666666,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,7.053,6.3477,0.85,0.15,0.4,0.45,12.5,0,0.0,1386337,705.3,70.7,32.9,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
MPLADS-000010,2413664.53,1725698.2242005356,1741868.99,2421814.62,671795.5399999998,0.7216698792851715,0.996634717648207,0.7149702051595943,1.00937056408397,0.7216698792851715,0.27833012071482854,0.38928911821255574,0.0,0.0,1.0,0.996634717648207,0.7216698792851715,0.7216698834282493,1.00000000574096,0.0,0.3333333333333333,33.33333333333333,580623.0,3,580623.0,-0.2807587436234075,0.10708643240098097,0.7217,0.0,-0.2188321798787273,-0.26259861585447275,0,0,1,365.0,365.0,0,0.0,0,18.0,28.0,35.0,45.0,0.00821917808219178,4772.243835616438,0.1947945205479452,0.0,30.0,45.0,20.0,2.0,0.0,0,0,0.1947945205479452,0.17589041095890412,0.1947945205479452,0.018904109589041068,-6.8999999999999915,71.1,64.2,14.0,11.0,2.0,0.0,19309316.24,2655030.983,6034161.324999999,0.35,0.28,0.0,2,42.0,0.08,580623.0,0.0916,2.0,4.0,3.0,0.25,0.4,3.0,0.3,0.45,0.5,0.4,2.0,0.32,0.08,0.552,0.0916,3,0,-0.0093,0.0307,0.96,0.08,0.002,0.045,0.3333333333333333,0.45,0,0,1,1,0.5,0.2,0,0,0,-0.0093,0.3333333333333333,21.0,0.0,0.25,2.0,12.0,35.0,1.0,1.0,3.0,6.0,1.8,4.2,3.832,3.4488,0.85,0.15,0.841,0.45,12.5,0,0.0,1263565,383.2,87.7,10.2,1.0,0.95,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LOW,NONE,LOW,0,0,0,0,0,0,0,0
