project_id,estimated_cost,sanctioned_amount,revised_cost,tender_amount,released_amount,actual_expenditure,unspent_balance,fund_utilization_ratio
MPLADS-000001,605000.0,614000.0,614000.0,607000.0,614000.0,567000.0,47000.0,0.9235
MPLADS-000002,963000.0,1004000.0,1004000.0,973000.0,1004000.0,955000.0,49000.0,0.9512
MPLADS-000003,64726000.0,67807000.0,67807000.0,59865000.0,67807000.0,59602000.0,8205000.0,0.879
MPLADS-000004,1277000.0,1290000.0,1290000.0,1215000.0,1290000.0,1239000.0,51000.0,0.9605
MPLADS-000005,628000.0,624000.0,624000.0,590000.0,624000.0,567000.0,57000.0,0.9087
MPLADS-000006,1395000.0,1427000.0,1427000.0,1365000.0,1427000.0,1260000.0,167000.0,0.883
MPLADS-000007,645000.0,657000.0,657000.0,633000.0,657000.0,576000.0,81000.0,0.8767
MPLADS-000008,1009000.0,1051000.0,1051000.0,1029000.0,1051000.0,948000.0,103000.0,0.902
MPLADS-000009,858000.0,850000.0,850000.0,837000.0,850000.0,734000.0,116000.0,0.8635
MPLADS-000010,2866000.0,2828000.0,2828000.0,2797000.0,2828000.0,2756000.0,72000.0,0.9745
MPLADS-000011,1304000.0,1294000.0,1294000.0,1305000.0,1294000.0,1181000.0,113000.0,0.9127
MPLADS-000012,15651000.0,15706000.0,15706000.0,15118000.0,15706000.0,14648000.0,1058000.0,0.9326
MPLADS-000013,9435000.0,9530000.0,9530000.0,9463000.0,9530000.0,8524000.0,1006000.0,0.8944
MPLADS-000014,1056000.0,1107000.0,1107000.0,1063000.0,1107000.0,942000.0,165000.0,0.8509
MPLADS-000015,2028000.0,2009000.0,2009000.0,2062000.0,2009000.0,1857000.0,152000.0,0.9243
MPLADS-000016,9429000.0,9352000.0,9352000.0,9084000.0,9352000.0,8294000.0,1058000.0,0.8869
MPLADS-000017,2528000.0,2572000.0,2572000.0,2429000.0,2572000.0,2298000.0,274000.0,0.8935
MPLADS-000018,2508000.0,2583000.0,2583000.0,2339000.0,2583000.0,2290000.0,293000.0,0.8866
MPLADS-000019,1542000.0,1521000.0,1521000.0,1538000.0,1521000.0,1309000.0,212000.0,0.8606
MPLADS-000020,4078000.0,4058000.0,4058000.0,3932000.0,4058000.0,3507000.0,551000.0,0.8642
MPLADS-000021,401000.0,413000.0,413000.0,384000.0,413000.0,241000.0,172000.0,0.5835
MPLADS-000022,1070000.0,1055000.0,1055000.0,1046000.0,1055000.0,999000.0,56000.0,0.9469
MPLADS-000023,1856000.0,1905000.0,1905000.0,1732000.0,1905000.0,1669000.0,236000.0,0.8761
MPLADS-000024,2317000.0,2278000.0,2278000.0,2240000.0,2278000.0,2169000.0,109000.0,0.9522
MPLADS-000025,1854000.0,1908000.0,3052000.0,1870000.0,1908000.0,3052000.0,0.0,1.5996
MPLADS-000026,3313000.0,3391000.0,3391000.0,3270000.0,3391000.0,3223000.0,168000.0,0.9505
MPLADS-000027,13542000.0,13311000.0,13311000.0,12579000.0,13311000.0,12386000.0,925000.0,0.9305
MPLADS-000028,646000.0,643000.0,643000.0,601000.0,643000.0,595000.0,48000.0,0.9253
MPLADS-000029,2491000.0,2546000.0,2546000.0,2511000.0,2546000.0,2186000.0,360000.0,0.8586
MPLADS-000030,12961000.0,12730000.0,12730000.0,13012000.0,12730000.0,11062000.0,1668000.0,0.869
MPLADS-000031,10661000.0,11183000.0,11183000.0,10852000.0,11183000.0,9975000.0,1208000.0,0.892
MPLADS-000032,2779000.0,2815000.0,2815000.0,2739000.0,2815000.0,2681000.0,134000.0,0.9524
MPLADS-000033,1073000.0,1062000.0,1062000.0,1057000.0,1062000.0,930000.0,132000.0,0.8757
MPLADS-000034,430000.0,437000.0,437000.0,427000.0,437000.0,427000.0,10000.0,0.9771
MPLADS-000035,2954000.0,2925000.0,2925000.0,2898000.0,2925000.0,2685000.0,240000.0,0.9179
MPLADS-000036,8784000.0,9124000.0,9124000.0,8797000.0,9124000.0,7948000.0,1176000.0,0.8711
MPLADS-000037,2405000.0,2512000.0,2512000.0,2281000.0,2512000.0,2408000.0,104000.0,0.9586
MPLADS-000038,2052000.0,2061000.0,2061000.0,1939000.0,2061000.0,1925000.0,136000.0,0.934
MPLADS-000039,511000.0,508000.0,508000.0,498000.0,508000.0,462000.0,46000.0,0.9094
MPLADS-000040,63618000.0,64100000.0,64100000.0,64384000.0,64100000.0,56363000.0,7737000.0,0.8793
MPLADS-000041,1819000.0,1889000.0,1889000.0,1757000.0,1889000.0,1739000.0,150000.0,0.9206
MPLADS-000042,2129000.0,2113000.0,2113000.0,2087000.0,2113000.0,2048000.0,65000.0,0.9692
MPLADS-000043,10294000.0,10609000.0,10609000.0,10101000.0,10609000.0,9243000.0,1366000.0,0.8712
MPLADS-000044,2929000.0,2927000.0,2927000.0,2913000.0,2927000.0,2680000.0,247000.0,0.9156
MPLADS-000045,2092000.0,2118000.0,2118000.0,2125000.0,2118000.0,2047000.0,71000.0,0.9665
MPLADS-000046,1494000.0,1504000.0,1920000.0,1454000.0,1504000.0,1920000.0,0.0,1.2766
MPLADS-000047,12272000.0,12100000.0,12100000.0,12231000.0,12100000.0,10676000.0,1424000.0,0.8823
MPLADS-000048,661000.0,671000.0,671000.0,645000.0,671000.0,637000.0,34000.0,0.9493
MPLADS-000049,2596000.0,2596000.0,2596000.0,2406000.0,2596000.0,2411000.0,185000.0,0.9287
MPLADS-000050,5615000.0,5680000.0,5680000.0,5592000.0,5680000.0,5524000.0,156000.0,0.9725
MPLADS-000051,11505000.0,11995000.0,11995000.0,11073000.0,11995000.0,11077000.0,918000.0,0.9235
MPLADS-000052,52049000.0,53252000.0,53252000.0,48082000.0,53252000.0,46425000.0,6827000.0,0.8718
MPLADS-000053,903000.0,924000.0,924000.0,850000.0,924000.0,814000.0,110000.0,0.881
MPLADS-000054,8426000.0,8577000.0,8577000.0,8003000.0,8577000.0,7906000.0,671000.0,0.9218
MPLADS-000055,1273000.0,1316000.0,1316000.0,1182000.0,1316000.0,1137000.0,179000.0,0.864
MPLADS-000056,2460000.0,2556000.0,2556000.0,2365000.0,2556000.0,2463000.0,93000.0,0.9636
MPLADS-000057,2876000.0,2950000.0,2950000.0,2676000.0,2950000.0,2669000.0,281000.0,0.9047
MPLADS-000058,3817000.0,3865000.0,3865000.0,3692000.0,3865000.0,3672000.0,193000.0,0.9501
MPLADS-000059,2728000.0,2712000.0,2712000.0,2736000.0,2712000.0,2339000.0,373000.0,0.8625
MPLADS-000060,1485000.0,1538000.0,1538000.0,1432000.0,1538000.0,1310000.0,228000.0,0.8518
MPLADS-000061,1474000.0,1478000.0,1478000.0,1485000.0,1478000.0,1311000.0,167000.0,0.887
MPLADS-000062,2060000.0,2126000.0,3215000.0,2042000.0,2126000.0,3215000.0,0.0,1.5122
MPLADS-000063,920000.0,957000.0,957000.0,922000.0,957000.0,921000.0,36000.0,0.9624
MPLADS-000064,2765000.0,2732000.0,2732000.0,2628000.0,2732000.0,2627000.0,105000.0,0.9616
MPLADS-000065,1804000.0,1824000.0,1824000.0,1687000.0,1824000.0,1623000.0,201000.0,0.8898
MPLADS-000066,3993000.0,4125000.0,4125000.0,3941000.0,4125000.0,3944000.0,181000.0,0.9561
MPLADS-000067,3877000.0,3802000.0,3802000.0,3904000.0,3802000.0,3259000.0,543000.0,0.8572
MPLADS-000068,2811000.0,2885000.0,2885000.0,2862000.0,2885000.0,2770000.0,115000.0,0.9601
MPLADS-000069,390000.0,390000.0,390000.0,397000.0,390000.0,359000.0,31000.0,0.9205
MPLADS-000070,411000.0,421000.0,421000.0,402000.0,421000.0,392000.0,29000.0,0.9311
MPLADS-000071,640000.0,634000.0,634000.0,638000.0,634000.0,554000.0,80000.0,0.8738
MPLADS-000072,563000.0,584000.0,584000.0,530000.0,584000.0,544000.0,40000.0,0.9315
