payment_id,project_id,contractor_id,tranche_number,payment_amount,payment_date,voucher_number,measurement_book_verified
PAY-000001-01,MPLADS-000001,CONT-0233,1,283500.0,2023-12-02,VCH-000001-01,True
PAY-000001-02,MPLADS-000001,CONT-0233,2,283500.0,2024-01-12,VCH-000001-02,True
PAY-000002-01,MPLADS-000002,CONT-0100,1,477500.0,2022-07-19,VCH-000002-01,True
PAY-000002-02,MPLADS-000002,CONT-0100,2,477500.0,2022-08-31,VCH-000002-02,True
PAY-000003-01,MPLADS-000003,CONT-0280,1,19867300.0,2023-11-07,VCH-000003-01,True
PAY-000003-02,MPLADS-000003,CONT-0280,2,19867300.0,2024-03-29,VCH-000003-02,True
PAY-000003-03,MPLADS-000003,CONT-0280,3,19867400.0,2024-08-19,VCH-000003-03,True
PAY-000004-01,MPLADS-000004,CONT-0281,1,413000.0,2023-07-18,VCH-000004-01,True
PAY-000004-02,MPLADS-000004,CONT-0281,2,413000.0,2023-09-03,VCH-000004-02,True
PAY-000004-03,MPLADS-000004,CONT-0281,3,413000.0,2023-10-20,VCH-000004-03,True
PAY-000005-01,MPLADS-000005,CONT-0116,1,283500.0,2023-12-15,VCH-000005-01,True
PAY-000005-02,MPLADS-000005,CONT-0116,2,283500.0,2024-01-12,VCH-000005-02,True
PAY-000006-01,MPLADS-000006,CONT-0190,1,420000.0,2023-12-30,VCH-000006-01,False
PAY-000006-02,MPLADS-000006,CONT-0190,2,420000.0,2024-02-14,VCH-000006-02,False
PAY-000006-03,MPLADS-000006,CONT-0190,3,420000.0,2024-03-31,VCH-000006-03,False
PAY-000007-01,MPLADS-000007,CONT-0001,1,288000.0,2023-02-03,VCH-000007-01,True
PAY-000007-02,MPLADS-000007,CONT-0001,2,288000.0,2023-03-08,VCH-000007-02,True
PAY-000008-01,MPLADS-000008,CONT-0065,1,474000.0,2023-08-13,VCH-000008-01,True
PAY-000008-02,MPLADS-000008,CONT-0065,2,474000.0,2023-10-11,VCH-000008-02,True
PAY-000009-01,MPLADS-000009,CONT-0058,1,367000.0,2023-08-23,VCH-000009-01,True
PAY-000009-02,MPLADS-000009,CONT-0058,2,367000.0,2023-10-17,VCH-000009-02,True
PAY-000010-01,MPLADS-000010,CONT-0137,1,918700.0,2023-12-23,VCH-000010-01,True
PAY-000010-02,MPLADS-000010,CONT-0137,2,918700.0,2024-02-28,VCH-000010-02,True
PAY-000010-03,MPLADS-000010,CONT-0137,3,918600.0,2024-05-05,VCH-000010-03,True
PAY-000011-01,MPLADS-000011,CONT-0317,1,393700.0,2023-01-30,VCH-000011-01,True
PAY-000011-02,MPLADS-000011,CONT-0317,2,393700.0,2023-03-12,VCH-000011-02,True
PAY-000011-03,MPLADS-000011,CONT-0317,3,393600.0,2023-04-22,VCH-000011-03,True
PAY-000012-01,MPLADS-000012,CONT-0060,1,4882700.0,2024-04-11,VCH-000012-01,True
PAY-000012-02,MPLADS-000012,CONT-0060,2,4882700.0,2024-08-23,VCH-000012-02,True
PAY-000012-03,MPLADS-000012,CONT-0060,3,4882600.0,2025-01-04,VCH-000012-03,True
PAY-000013-01,MPLADS-000013,CONT-0025,1,2841300.0,2022-07-24,VCH-000013-01,True
PAY-000013-02,MPLADS-000013,CONT-0025,2,2841300.0,2022-11-30,VCH-000013-02,True
