progress_id,project_id,physical_progress,financial_progress,planned_duration_days,actual_duration_days,extension_count,progress_gap
PROG-000001,MPLADS-000001,79.6,92.3,90,82,0,12.7
PROG-000002,MPLADS-000002,75.7,95.1,90,86,0,19.4
PROG-000003,MPLADS-000003,93.8,87.9,400,429,0,-5.9
PROG-000004,MPLADS-000004,98.6,96.0,120,141,0,-2.6
PROG-000005,MPLADS-000005,98.3,90.9,60,55,0,-7.4
PROG-000006,MPLADS-000006,29.2,88.3,150,137,0,59.1
PROG-000007,MPLADS-000007,72.3,87.7,60,65,0,15.4
PROG-000008,MPLADS-000008,91.5,90.2,90,117,0,-1.3
PROG-000009,MPLADS-000009,80.2,86.4,90,109,0,6.2
PROG-000010,MPLADS-000010,89.7,97.5,210,201,0,7.8
PROG-000011,MPLADS-000011,98.6,91.3,120,123,0,-7.3
PROG-000012,MPLADS-000012,79.4,93.3,400,401,0,13.9
PROG-000013,MPLADS-000013,82.8,89.4,400,388,0,6.6
PROG-000014,MPLADS-000014,92.5,85.1,90,104,0,-7.4
PROG-000015,MPLADS-000015,77.8,92.4,180,187,0,14.6
PROG-000016,MPLADS-000016,88.5,88.7,400,431,0,0.2
PROG-000017,MPLADS-000017,71.6,89.3,160,177,0,17.7
PROG-000018,MPLADS-000018,96.9,88.7,210,201,0,-8.2
PROG-000019,MPLADS-000019,88.0,86.1,160,162,0,-1.9
PROG-000020,MPLADS-000020,73.7,86.4,210,235,0,12.7
PROG-000021,MPLADS-000021,12.5,58.4,60,90,0,45.9
PROG-000022,MPLADS-000022,76.5,94.7,90,114,0,18.2
PROG-000023,MPLADS-000023,79.0,87.6,150,147,0,8.6
PROG-000024,MPLADS-000024,90.2,95.2,120,127,0,5.0
PROG-000025,MPLADS-000025,78.4,160.0,150,139,0,81.6
PROG-000026,MPLADS-000026,72.0,95.0,180,196,0,23.0
PROG-000027,MPLADS-000027,79.4,93.1,400,399,0,13.7
PROG-000028,MPLADS-000028,78.5,92.5,90,85,0,14.0
PROG-000029,MPLADS-000029,86.6,85.9,120,141,0,-0.7
PROG-000030,MPLADS-000030,79.1,86.9,180,190,0,7.8
PROG-000031,MPLADS-000031,77.2,89.2,400,394,0,12.0
PROG-000032,MPLADS-000032,79.2,95.2,210,233,0,16.0
PROG-000033,MPLADS-000033,78.3,87.6,90,105,0,9.3
PROG-000034,MPLADS-000034,70.3,97.7,60,87,0,27.4
PROG-000035,MPLADS-000035,99.5,91.8,210,211,0,-7.7
PROG-000036,MPLADS-000036,89.4,87.1,400,395,0,-2.3
PROG-000037,MPLADS-000037,96.8,95.9,210,231,0,-0.9
PROG-000038,MPLADS-000038,84.2,93.4,160,194,0,9.2
PROG-000039,MPLADS-000039,98.6,90.9,60,55,0,-7.7
PROG-000040,MPLADS-000040,87.5,87.9,400,390,0,0.4
PROG-000041,MPLADS-000041,99.1,92.1,160,150,0,-7.0
PROG-000042,MPLADS-000042,75.6,96.9,120,131,0,21.3
PROG-000043,MPLADS-000043,92.3,87.1,400,429,0,-5.2
PROG-000044,MPLADS-000044,80.5,91.6,180,202,0,11.1
PROG-000045,MPLADS-000045,75.7,96.6,160,152,0,20.9
PROG-000046,MPLADS-000046,76.8,127.7,150,168,0,50.9
PROG-000047,MPLADS-000047,97.5,88.2,160,167,0,-9.3
PROG-000048,MPLADS-000048,93.4,94.9,60,88,0,1.5
PROG-000049,MPLADS-000049,92.0,92.9,60,75,0,0.9
PROG-000050,MPLADS-000050,85.6,97.3,150,145,0,11.7
PROG-000051,MPLADS-000051,96.2,92.3,180,169,0,-3.9
PROG-000052,MPLADS-000052,76.3,87.2,400,434,0,10.9
PROG-000053,MPLADS-000053,84.2,88.1,90,117,0,3.9
PROG-000054,MPLADS-000054,98.1,92.2,400,405,0,-5.9
PROG-000055,MPLADS-000055,93.5,86.4,120,143,0,-7.1
PROG-000056,MPLADS-000056,71.8,96.4,210,198,0,24.6
