tender_id,project_id,bid_count,single_bid_flag,tender_type,winning_bid_amount,winning_bid_deviation
TND-000001,MPLADS-000001,7,0,Open e-Tender,607000.0,0.0033
TND-000002,MPLADS-000002,4,0,Open e-Tender,973000.0,0.0104
TND-000003,MPLADS-000003,6,0,Open e-Tender,59865000.0,-0.0751
TND-000004,MPLADS-000004,3,0,Open e-Tender,1215000.0,-0.0486
TND-000005,MPLADS-000005,6,0,Open e-Tender,590000.0,-0.0605
TND-000006,MPLADS-000006,5,0,Open e-Tender,1365000.0,-0.0215
TND-000007,MPLADS-000007,5,0,Open e-Tender,633000.0,-0.0186
TND-000008,MPLADS-000008,6,0,Open e-Tender,1029000.0,0.0198
TND-000009,MPLADS-000009,4,0,Open e-Tender,837000.0,-0.0245
TND-000010,MPLADS-000010,4,0,Open e-Tender,2797000.0,-0.0241
TND-000011,MPLADS-000011,5,0,Open e-Tender,1305000.0,0.0008
TND-000012,MPLADS-000012,3,0,Open e-Tender,15118000.0,-0.0341
TND-000013,MPLADS-000013,3,0,Open e-Tender,9463000.0,0.003
TND-000014,MPLADS-000014,5,0,Open e-Tender,1063000.0,0.0066
TND-000015,MPLADS-000015,5,0,Open e-Tender,2062000.0,0.0168
TND-000016,MPLADS-000016,3,0,Open e-Tender,9084000.0,-0.0366
TND-000017,MPLADS-000017,6,0,Open e-Tender,2429000.0,-0.0392
TND-000018,MPLADS-000018,4,0,Open e-Tender,2339000.0,-0.0674
TND-000019,MPLADS-000019,6,0,Open e-Tender,1538000.0,-0.0026
TND-000020,MPLADS-000020,4,0,Open e-Tender,3932000.0,-0.0358
TND-000021,MPLADS-000021,6,0,Open e-Tender,384000.0,-0.0424
TND-000022,MPLADS-000022,6,0,Open e-Tender,1046000.0,-0.0224
TND-000023,MPLADS-000023,7,0,Open e-Tender,1732000.0,-0.0668
TND-000024,MPLADS-000024,4,0,Open e-Tender,2240000.0,-0.0332
TND-000025,MPLADS-000025,5,0,Open e-Tender,1870000.0,0.0086
TND-000026,MPLADS-000026,6,0,Open e-Tender,3270000.0,-0.013
TND-000027,MPLADS-000027,1,1,Single Tender Inquiry,12579000.0,-0.0711
TND-000028,MPLADS-000028,7,0,Open e-Tender,601000.0,-0.0697
TND-000029,MPLADS-000029,5,0,Open e-Tender,2511000.0,0.008
TND-000030,MPLADS-000030,5,0,Open e-Tender,13012000.0,0.0039
TND-000031,MPLADS-000031,4,0,Open e-Tender,10852000.0,0.0179
TND-000032,MPLADS-000032,4,0,Open e-Tender,2739000.0,-0.0144
TND-000033,MPLADS-000033,5,0,Open e-Tender,1057000.0,-0.0149
TND-000034,MPLADS-000034,4,0,Open e-Tender,427000.0,-0.007
TND-000035,MPLADS-000035,6,0,Open e-Tender,2898000.0,-0.019
