contract_id,project_id,contractor_id,work_order_amount,award_date,performance_guarantee_submitted
CNTR-000001,MPLADS-000001,CONT-0233,607000.0,2023-11-05,True
CNTR-000002,MPLADS-000002,CONT-0100,973000.0,2022-06-20,True
CNTR-000003,MPLADS-000003,CONT-0280,59865000.0,2023-07-01,True
CNTR-000004,MPLADS-000004,CONT-0281,1215000.0,2023-06-15,True
CNTR-000005,MPLADS-000005,CONT-0116,590000.0,2023-12-02,True
CNTR-000006,MPLADS-000006,CONT-0190,1365000.0,2023-11-29,True
CNTR-000007,MPLADS-000007,CONT-0001,633000.0,2023-01-16,True
CNTR-000008,MPLADS-000008,CONT-0065,1029000.0,2023-06-30,True
CNTR-000009,MPLADS-000009,CONT-0058,837000.0,2023-07-14,True
CNTR-000010,MPLADS-000010,CONT-0137,2797000.0,2023-10-31,True
CNTR-000011,MPLADS-000011,CONT-0317,1305000.0,2023-01-03,True
CNTR-000012,MPLADS-000012,CONT-0060,15118000.0,2023-12-14,True
CNTR-000013,MPLADS-000013,CONT-0025,9463000.0,2022-03-31,True
CNTR-000014,MPLADS-000014,CONT-0293,1063000.0,2023-04-13,True
CNTR-000015,MPLADS-000015,CONT-0309,2062000.0,2022-05-13,True
CNTR-000016,MPLADS-000016,CONT-0205,9084000.0,2022-11-02,True
CNTR-000017,MPLADS-000017,CONT-0165,2429000.0,2023-12-12,True
CNTR-000018,MPLADS-000018,CONT-0071,2339000.0,2023-06-05,True
CNTR-000019,MPLADS-000019,CONT-0122,1538000.0,2023-06-03,True
CNTR-000020,MPLADS-000020,CONT-0235,3932000.0,2023-06-18,True
CNTR-000021,MPLADS-000021,CONT-0130,384000.0,2024-01-26,True
CNTR-000022,MPLADS-000022,CONT-0199,1046000.0,2023-07-30,True
CNTR-000023,MPLADS-000023,CONT-0196,1732000.0,2023-05-22,True
CNTR-000024,MPLADS-000024,CONT-0129,2240000.0,2023-09-06,True
CNTR-000025,MPLADS-000025,CONT-0262,1870000.0,2022-10-10,True
CNTR-000026,MPLADS-000026,CONT-0167,3270000.0,2022-02-21,True
CNTR-000027,MPLADS-000027,CONT-0318,12579000.0,2022-05-29,True
CNTR-000028,MPLADS-000028,CONT-0303,601000.0,2023-10-22,True
CNTR-000029,MPLADS-000029,CONT-0263,2511000.0,2023-09-10,True
CNTR-000030,MPLADS-000030,CONT-0011,13012000.0,2023-09-09,True
CNTR-000031,MPLADS-000031,CONT-0010,10852000.0,2022-07-06,True
CNTR-000032,MPLADS-000032,CONT-0034,2739000.0,2022-09-18,True
CNTR-000033,MPLADS-000033,CONT-0141,1057000.0,2023-05-04,True
CNTR-000034,MPLADS-000034,CONT-0297,427000.0,2023-11-15,True
CNTR-000035,MPLADS-000035,CONT-0107,2898000.0,2023-05-05,True
CNTR-000036,MPLADS-000036,CONT-0229,8797000.0,2023-01-20,True
CNTR-000037,MPLADS-000037,CONT-0231,2281000.0,2023-05-20,True
CNTR-000038,MPLADS-000038,CONT-0027,1939000.0,2022-05-27,True
CNTR-000039,MPLADS-000039,CONT-0265,498000.0,2022-04-19,True
CNTR-000040,MPLADS-000040,CONT-0188,64384000.0,2022-10-04,True
CNTR-000041,MPLADS-000041,CONT-0277,1757000.0,2022-09-26,True
CNTR-000042,MPLADS-000042,CONT-0107,2087000.0,2022-10-16,True
CNTR-000043,MPLADS-000043,CONT-0245,10101000.0,2023-04-01,True
CNTR-000044,MPLADS-000044,CONT-0070,2913000.0,2022-06-10,True
CNTR-000045,MPLADS-000045,CONT-0199,2125000.0,2023-10-08,True
CNTR-000046,MPLADS-000046,CONT-0298,1454000.0,2023-03-06,True
CNTR-000047,MPLADS-000047,CONT-0089,12231000.0,2023-06-29,True
CNTR-000048,MPLADS-000048,CONT-0036,645000.0,2022-12-07,True
CNTR-000049,MPLADS-000049,CONT-0038,2406000.0,2023-10-11,True
CNTR-000050,MPLADS-000050,CONT-0154,5592000.0,2023-05-17,True
CNTR-000051,MPLADS-000051,CONT-0117,11073000.0,2023-09-24,True
CNTR-000052,MPLADS-000052,CONT-0045,48082000.0,2022-10-30,True
CNTR-000053,MPLADS-000053,CONT-0220,850000.0,2022-08-30,True
CNTR-000054,MPLADS-000054,CONT-0227,8003000.0,2023-03-26,True
CNTR-000055,MPLADS-000055,CONT-0157,1182000.0,2022-05-09,True
CNTR-000056,MPLADS-000056,CONT-0304,2365000.0,2022-12-30,True
CNTR-000057,MPLADS-000057,CONT-0286,2676000.0,2023-11-04,True
CNTR-000058,MPLADS-000058,CONT-0072,3692000.0,2023-08-02,True
CNTR-000059,MPLADS-000059,CONT-0171,2736000.0,2023-05-17,True
CNTR-000060,MPLADS-000060,CONT-0182,1432000.0,2023-11-06,True
CNTR-000061,MPLADS-000061,CONT-0104,1485000.0,2023-06-25,True
CNTR-000062,MPLADS-000062,CONT-0248,2042000.0,2022-11-04,True
CNTR-000063,MPLADS-000063,CONT-0009,922000.0,2023-07-03,True
CNTR-000064,MPLADS-000064,CONT-0111,2628000.0,2023-07-24,True
CNTR-000065,MPLADS-000065,CONT-0289,1687000.0,2022-09-22,True
CNTR-000066,MPLADS-000066,CONT-0230,3941000.0,2023-12-23,True
CNTR-000067,MPLADS-000067,CONT-0228,3904000.0,2024-01-07,True
CNTR-000068,MPLADS-000068,CONT-0187,2862000.0,2023-11-03,True
CNTR-000069,MPLADS-000069,CONT-0117,397000.0,2024-02-03,True
CNTR-000070,MPLADS-000070,CONT-0203,402000.0,2023-11-22,True
CNTR-000071,MPLADS-000071,CONT-0105,638000.0,2023-08-13,True
CNTR-000072,MPLADS-000072,CONT-0054,530000.0,2024-01-01,True
CNTR-000073,MPLADS-000073,CONT-0284,2152000.0,2023-12-21,True
CNTR-000074,MPLADS-000074,CONT-0088,3074000.0,2023-03-13,True
CNTR-000075,MPLADS-000075,CONT-0161,368000.0,2023-03-09,True
CNTR-000076,MPLADS-000076,CONT-0108,582000.0,2023-02-18,True
CNTR-000077,MPLADS-000077,CONT-0038,1348000.0,2022-07-27,True
CNTR-000078,MPLADS-000078,CONT-0155,613000.0,2023-10-04,True
CNTR-000079,MPLADS-000079,CONT-0263,1570000.0,2022-08-13,True
CNTR-000080,MPLADS-000080,CONT-0032,3690000.0,2022-11-22,True
CNTR-000081,MPLADS-000081,CONT-0217,740000.0,2022-08-29,True
CNTR-000082,MPLADS-000082,CONT-0101,3751000.0,2023-08-16,True
CNTR-000083,MPLADS-000083,CONT-0269,3484000.0,2022-02-13,True
CNTR-000084,MPLADS-000084,CONT-0077,2815000.0,2022-05-30,True
CNTR-000085,MPLADS-000085,CONT-0141,2053000.0,2022-10-06,True
CNTR-000086,MPLADS-000086,CONT-0259,14278000.0,2022-05-29,True
CNTR-000087,MPLADS-000087,CONT-0289,1534000.0,2022-07-03,True
CNTR-000088,MPLADS-000088,CONT-0268,535000.0,2023-04-25,True
CNTR-000089,MPLADS-000089,CONT-0233,1577000.0,2023-04-20,True
CNTR-000090,MPLADS-000090,CONT-0091,2005000.0,2022-02-22,True
CNTR-000091,MPLADS-000091,CONT-0307,11490000.0,2022-11-25,True
CNTR-000092,MPLADS-000092,CONT-0215,12514000.0,2022-09-30,True
CNTR-000093,MPLADS-000093,CONT-0018,2225000.0,2023-12-19,True
CNTR-000094,MPLADS-000094,CONT-0034,634000.0,2023-03-12,True
CNTR-000095,MPLADS-000095,CONT-0085,1271000.0,2024-01-16,True
CNTR-000096,MPLADS-000096,CONT-0303,914000.0,2023-06-18,True
CNTR-000097,MPLADS-000097,CONT-0072,2904000.0,2023-01-15,True
CNTR-000098,MPLADS-000098,CONT-0162,455000.0,2024-01-09,True
CNTR-000099,MPLADS-000099,CONT-0105,3728000.0,2023-03-23,True
CNTR-000100,MPLADS-000100,CONT-0072,1027000.0,2022-07-20,True
CNTR-000101,MPLADS-000101,CONT-0171,2168000.0,2022-10-22,True
CNTR-000102,MPLADS-000102,CONT-0113,8176000.0,2023-11-04,True
CNTR-000103,MPLADS-000103,CONT-0154,10009000.0,2022-03-29,True
CNTR-000104,MPLADS-000104,CONT-0156,2732000.0,2022-08-18,True
CNTR-000105,MPLADS-000105,CONT-0256,1017000.0,2023-02-10,True
CNTR-000106,MPLADS-000106,CONT-0118,2539000.0,2023-02-17,True
CNTR-000107,MPLADS-000107,CONT-0209,604000.0,2023-06-08,True
CNTR-000108,MPLADS-000108,CONT-0117,2447000.0,2022-03-03,True
CNTR-000109,MPLADS-000109,CONT-0056,1144000.0,2023-01-15,True
CNTR-000110,MPLADS-000110,CONT-0219,1577000.0,2023-07-28,True
CNTR-000111,MPLADS-000111,CONT-0077,526000.0,2023-03-12,True
CNTR-000112,MPLADS-000112,CONT-0098,1852000.0,2023-10-24,True
CNTR-000113,MPLADS-000113,CONT-0242,1253000.0,2023-11-16,True
CNTR-000114,MPLADS-000114,CONT-0055,1799000.0,2023-04-16,True
CNTR-000115,MPLADS-000115,CONT-0290,1026000.0,2023-05-01,True
CNTR-000116,MPLADS-000116,CONT-0053,1806000.0,2023-09-10,True
CNTR-000117,MPLADS-000117,CONT-0082,9738000.0,2024-01-11,True
CNTR-000118,MPLADS-000118,CONT-0103,2974000.0,2023-08-28,True
CNTR-000119,MPLADS-000119,CONT-0097,2612000.0,2022-04-13,True
CNTR-000120,MPLADS-000120,CONT-0297,2345000.0,2024-01-06,True
CNTR-000121,MPLADS-000121,CONT-0287,2642000.0,2023-06-10,True
CNTR-000122,MPLADS-000122,CONT-0173,5198000.0,2023-01-27,True
CNTR-000123,MPLADS-000123,CONT-0158,13295000.0,2024-01-19,True
CNTR-000124,MPLADS-000124,CONT-0127,2231000.0,2022-02-22,True
CNTR-000125,MPLADS-000125,CONT-0302,2927000.0,2022-07-21,True
CNTR-000126,MPLADS-000126,CONT-0259,1310000.0,2023-09-02,True
CNTR-000127,MPLADS-000127,CONT-0223,3615000.0,2023-09-13,True
CNTR-000128,MPLADS-000128,CONT-0256,3345000.0,2022-10-28,True
CNTR-000129,MPLADS-000129,CONT-0027,2061000.0,2023-11-13,True
CNTR-000130,MPLADS-000130,CONT-0244,2524000.0,2022-04-07,True
CNTR-000131,MPLADS-000131,CONT-0158,2871000.0,2023-09-03,True
CNTR-000132,MPLADS-000132,CONT-0169,3021000.0,2022-10-08,True
CNTR-000133,MPLADS-000133,CONT-0159,1490000.0,2022-03-26,True
CNTR-000134,MPLADS-000134,CONT-0278,11821000.0,2023-06-17,True
CNTR-000135,MPLADS-000135,CONT-0198,14668000.0,2023-04-24,True
CNTR-000136,MPLADS-000136,CONT-0289,635000.0,2023-04-17,True
CNTR-000137,MPLADS-000137,CONT-0137,1710000.0,2022-07-12,True
CNTR-000138,MPLADS-000138,CONT-0207,461000.0,2023-05-27,True
CNTR-000139,MPLADS-000139,CONT-0031,2006000.0,2022-11-02,True
CNTR-000140,MPLADS-000140,CONT-0186,14499000.0,2022-04-21,True
CNTR-000141,MPLADS-000141,CONT-0118,1386000.0,2022-08-18,True
CNTR-000142,MPLADS-000142,CONT-0228,2803000.0,2023-10-29,True
CNTR-000143,MPLADS-000143,CONT-0201,14615000.0,2023-01-18,True
CNTR-000144,MPLADS-000144,CONT-0162,2187000.0,2023-07-24,True
CNTR-000145,MPLADS-000145,CONT-0228,2909000.0,2023-01-02,True
CNTR-000146,MPLADS-000146,CONT-0053,347000.0,2023-09-16,True
CNTR-000147,MPLADS-000147,CONT-0290,1773000.0,2022-04-19,True
CNTR-000148,MPLADS-000148,CONT-0291,424000.0,2023-02-16,True
CNTR-000149,MPLADS-000149,CONT-0228,3942000.0,2022-05-28,True
CNTR-000150,MPLADS-000150,CONT-0298,3207000.0,2023-09-08,True
CNTR-000151,MPLADS-000151,CONT-0195,416000.0,2023-09-10,True
CNTR-000152,MPLADS-000152,CONT-0319,8661000.0,2023-07-27,True
CNTR-000153,MPLADS-000153,CONT-0082,2332000.0,2023-10-26,True
CNTR-000154,MPLADS-000154,CONT-0299,499000.0,2023-09-11,True
CNTR-000155,MPLADS-000155,CONT-0151,1434000.0,2022-04-14,True
CNTR-000156,MPLADS-000156,CONT-0044,443000.0,2023-12-20,True
CNTR-000157,MPLADS-000157,CONT-0001,1509000.0,2023-08-09,True
CNTR-000158,MPLADS-000158,CONT-0139,670000.0,2022-12-08,True
CNTR-000159,MPLADS-000159,CONT-0159,1965000.0,2022-05-31,True
CNTR-000160,MPLADS-000160,CONT-0056,1260000.0,2023-07-05,True
CNTR-000161,MPLADS-000161,CONT-0035,420000.0,2023-04-15,True
CNTR-000162,MPLADS-000162,CONT-0300,15850000.0,2023-05-29,True
CNTR-000163,MPLADS-000163,CONT-0167,1284000.0,2023-07-03,True
CNTR-000164,MPLADS-000164,CONT-0267,835000.0,2022-06-17,True
CNTR-000165,MPLADS-000165,CONT-0190,60461000.0,2022-11-18,True
CNTR-000166,MPLADS-000166,CONT-0195,2845000.0,2023-12-17,True
CNTR-000167,MPLADS-000167,CONT-0125,818000.0,2022-10-17,True
CNTR-000168,MPLADS-000168,CONT-0244,1921000.0,2022-10-08,True
CNTR-000169,MPLADS-000169,CONT-0089,652000.0,2022-10-27,True
CNTR-000170,MPLADS-000170,CONT-0276,1358000.0,2022-04-04,True
CNTR-000171,MPLADS-000171,CONT-0078,12987000.0,2022-08-31,True
CNTR-000172,MPLADS-000172,CONT-0044,2250000.0,2022-06-24,True
CNTR-000173,MPLADS-000173,CONT-0231,571000.0,2023-04-30,True
CNTR-000174,MPLADS-000174,CONT-0054,3860000.0,2023-06-11,True
CNTR-000175,MPLADS-000175,CONT-0034,1745000.0,2022-05-16,True
CNTR-000176,MPLADS-000176,CONT-0153,1625000.0,2023-09-14,True
