contractor_id,contractor_name,home_district_id,home_state_id,registration_category,financial_capacity,base_quality_score,past_irregularity_rate
CONT-0001,Kari Enterprises,DIST-0097,ST-02,Class A,20000000.0,0.942,0.0852
CONT-0002,"Behl, Srinivasan and Garde Infrastructure Pvt Ltd",DIST-0448,ST-12,Class B,5000000.0,0.791,0.0323
CONT-0003,Viswanathan Enterprises,DIST-0466,ST-12,Class B,20000000.0,0.819,0.1252
CONT-0004,"Rai, Divan and Kibe Infrastructure Pvt Ltd",DIST-0420,ST-11,Class B,20000000.0,0.833,0.0895
CONT-0005,Choudhary and Sons Infrastructure Pvt Ltd,DIST-0567,ST-17,Class B,5000000.0,0.867,0.0204
CONT-0006,Bahl Enterprises,DIST-0573,ST-17,Class B,5000000.0,0.823,0.1317
CONT-0007,Murthy-Sahota Infrastructure Pvt Ltd,DIST-0404,ST-10,Class B,20000000.0,0.703,0.0338
CONT-0008,Sachar Ltd Infrastructure Pvt Ltd,DIST-0148,ST-03,Class A,20000000.0,0.72,0.0186
CONT-0009,Jani Enterprises,DIST-0261,ST-06,Class B,5000000.0,0.923,0.1218
CONT-0010,Thaker-Sinha Infrastructure Pvt Ltd,DIST-0174,ST-05,Class C,20000000.0,0.865,0.0188
CONT-0011,"Bhatia, Devi and Venkataraman Infrastructure Pvt Ltd",DIST-0114,ST-03,Class A,20000000.0,0.817,0.0749
CONT-0012,Nair Ltd Infrastructure Pvt Ltd,DIST-0587,ST-17,Class C,20000000.0,0.933,0.0215
CONT-0013,Vora-Puri Infrastructure Pvt Ltd,DIST-0160,ST-04,Class C,5000000.0,0.862,0.0407
CONT-0014,Murthy Enterprises,DIST-0463,ST-12,Class B,5000000.0,0.72,0.032
CONT-0015,Ghose Enterprises,DIST-0362,ST-09,Class B,100000000.0,0.91,0.0785
CONT-0016,Sharaf Enterprises,DIST-0215,ST-05,Class A,5000000.0,0.912,0.0788
CONT-0017,Walia Enterprises,DIST-0510,ST-15,Class B,20000000.0,0.854,0.0315
CONT-0018,Pandya-Lalla Infrastructure Pvt Ltd,DIST-0139,ST-03,Class A,5000000.0,0.914,0.0374
CONT-0019,"Sule, Handa and Koshy Infrastructure Pvt Ltd",DIST-0617,ST-18,Class B,5000000.0,0.954,0.0934
CONT-0020,Misra-Kar Infrastructure Pvt Ltd,DIST-0465,ST-12,Class C,20000000.0,0.887,0.112
CONT-0021,Mani-Johal Infrastructure Pvt Ltd,DIST-0097,ST-02,Class C,20000000.0,0.719,0.0226
CONT-0022,Suresh Enterprises,DIST-0470,ST-13,Class C,20000000.0,0.724,0.2428
CONT-0023,Nadig Enterprises,DIST-0237,ST-06,Class A,100000000.0,0.909,0.1106
CONT-0024,Palla-Mahal Infrastructure Pvt Ltd,DIST-0399,ST-10,Class C,100000000.0,0.945,0.0011
CONT-0025,Dara-Raghavan Infrastructure Pvt Ltd,DIST-0218,ST-05,Class B,20000000.0,0.725,0.0257
CONT-0026,Pai-Dhingra Infrastructure Pvt Ltd,DIST-0619,ST-18,Class C,20000000.0,0.737,0.0041
CONT-0027,Basak-Mani Infrastructure Pvt Ltd,DIST-0287,ST-07,Class B,5000000.0,0.816,0.1209
CONT-0028,"Brar, Pal and Sathe Infrastructure Pvt Ltd",DIST-0545,ST-16,Class C,5000000.0,0.911,0.0527
CONT-0029,"Kunda, Srinivas and Kala Infrastructure Pvt Ltd",DIST-0437,ST-12,Class C,5000000.0,0.757,0.246
CONT-0030,Yohannan LLC Infrastructure Pvt Ltd,DIST-0072,ST-01,Class B,5000000.0,0.892,0.2107
CONT-0031,Magar Enterprises,DIST-0108,ST-02,Class B,20000000.0,0.854,0.0363
CONT-0032,Devan Enterprises,DIST-0169,ST-04,Class B,5000000.0,0.859,0.1046
CONT-0033,Chopra Enterprises,DIST-0234,ST-06,Class C,100000000.0,0.942,0.0553
CONT-0034,"Khatri, Kibe and Bedi Infrastructure Pvt Ltd",DIST-0410,ST-11,Class B,5000000.0,0.868,0.105
CONT-0035,"Wali, Kara and Kaul Infrastructure Pvt Ltd",DIST-0318,ST-08,Class C,20000000.0,0.736,0.1711
CONT-0036,Ben Enterprises,DIST-0048,ST-01,Class B,20000000.0,0.749,0.1224
CONT-0037,Sachdev LLC Infrastructure Pvt Ltd,DIST-0103,ST-02,Class C,20000000.0,0.712,0.0513
CONT-0038,"Sodhi, Chaudhry and Devan Infrastructure Pvt Ltd",DIST-0526,ST-15,Class B,100000000.0,0.708,0.0493
CONT-0039,Ahluwalia Enterprises,DIST-0365,ST-09,Class C,5000000.0,0.739,0.0399
CONT-0040,"Dugar, Ray and Soni Infrastructure Pvt Ltd",DIST-0360,ST-09,Class A,100000000.0,0.729,0.0775
CONT-0041,Iyengar-Mani Infrastructure Pvt Ltd,DIST-0181,ST-05,Class C,100000000.0,0.782,0.0257
CONT-0042,Mangal-Bhargava Infrastructure Pvt Ltd,DIST-0296,ST-07,Class C,100000000.0,0.946,0.0516
CONT-0043,Chakraborty Enterprises,DIST-0105,ST-02,Class B,20000000.0,0.767,0.1183
CONT-0044,"Kata, Warrior and Barad Infrastructure Pvt Ltd",DIST-0495,ST-14,Class C,5000000.0,0.774,0.0239
CONT-0045,Sahni and Sons Infrastructure Pvt Ltd,DIST-0092,ST-02,Class B,20000000.0,0.713,0.0706
CONT-0046,Ranganathan Group Infrastructure Pvt Ltd,DIST-0195,ST-05,Class A,5000000.0,0.839,0.0558
CONT-0047,Grewal Enterprises,DIST-0192,ST-05,Class B,20000000.0,0.808,0.0444
CONT-0048,Mann Enterprises,DIST-0421,ST-11,Class B,5000000.0,0.886,0.0451
CONT-0049,Andra LLC Infrastructure Pvt Ltd,DIST-0468,ST-12,Class B,5000000.0,0.806,0.1136
CONT-0050,"Chhabra, Nayak and Mane Infrastructure Pvt Ltd",DIST-0289,ST-07,Class B,5000000.0,0.863,0.1224
CONT-0051,Sha Enterprises,DIST-0563,ST-16,Class B,5000000.0,0.717,0.0058
CONT-0052,"Viswanathan, Tak and Desai Infrastructure Pvt Ltd",DIST-0240,ST-06,Class C,5000000.0,0.875,0.0163
CONT-0053,"Sidhu, Mahajan and Hans Infrastructure Pvt Ltd",DIST-0471,ST-13,Class C,100000000.0,0.95,0.0499
CONT-0054,Chowdhury Enterprises,DIST-0450,ST-12,Class C,5000000.0,0.803,0.1997
CONT-0055,Gaba-Shanker Infrastructure Pvt Ltd,DIST-0073,ST-01,Class C,5000000.0,0.762,0.0868
CONT-0056,"Kurian, Grewal and Atwal Infrastructure Pvt Ltd",DIST-0485,ST-14,Class B,5000000.0,0.727,0.061
CONT-0057,"Nazareth, Merchant and Hans Infrastructure Pvt Ltd",DIST-0328,ST-08,Class B,5000000.0,0.711,0.0504
CONT-0058,Ravi Group Infrastructure Pvt Ltd,DIST-0545,ST-16,Class A,20000000.0,0.793,0.3593
CONT-0059,Varma Enterprises,DIST-0250,ST-06,Class C,5000000.0,0.704,0.0993
CONT-0060,Chadha-Rattan Infrastructure Pvt Ltd,DIST-0551,ST-16,Class C,5000000.0,0.709,0.139
CONT-0061,"Chandran, Goyal and Dey Infrastructure Pvt Ltd",DIST-0043,ST-01,Class B,5000000.0,0.904,0.0126
CONT-0062,Naik-Kothari Infrastructure Pvt Ltd,DIST-0450,ST-12,Class A,20000000.0,0.879,0.0584
CONT-0063,Lal Group Infrastructure Pvt Ltd,DIST-0232,ST-06,Class B,100000000.0,0.974,0.0449
CONT-0064,Sekhon LLC Infrastructure Pvt Ltd,DIST-0297,ST-07,Class C,20000000.0,0.914,0.039
CONT-0065,Narayan Enterprises,DIST-0162,ST-04,Class B,20000000.0,0.796,0.0305
CONT-0066,Mittal Enterprises,DIST-0064,ST-01,Class B,20000000.0,0.774,0.0314
CONT-0067,Apte Enterprises,DIST-0178,ST-05,Class B,5000000.0,0.744,0.2392
CONT-0068,Parsa-Keer Infrastructure Pvt Ltd,DIST-0453,ST-12,Class C,20000000.0,0.925,0.0222
CONT-0069,Bhatia Enterprises,DIST-0203,ST-05,Class B,5000000.0,0.701,0.0201
CONT-0070,"Dani, Shroff and Mohanty Infrastructure Pvt Ltd",DIST-0173,ST-05,Class B,20000000.0,0.829,0.0194
CONT-0071,Ravi Ltd Infrastructure Pvt Ltd,DIST-0552,ST-16,Class B,20000000.0,0.977,0.0608
CONT-0072,Thakkar Enterprises,DIST-0603,ST-18,Class C,20000000.0,0.756,0.1118
CONT-0073,"Mukhopadhyay, Dalal and Merchant Infrastructure Pvt Ltd",DIST-0327,ST-08,Class C,5000000.0,0.755,0.0384
CONT-0074,Pillai Enterprises,DIST-0606,ST-18,Class C,20000000.0,0.84,0.113
CONT-0075,"Kant, Kanda and Deol Infrastructure Pvt Ltd",DIST-0285,ST-07,Class B,5000000.0,0.937,0.0692
CONT-0076,Sridhar Enterprises,DIST-0171,ST-04,Class B,20000000.0,0.755,0.031
CONT-0077,Dua Enterprises,DIST-0097,ST-02,Class B,5000000.0,0.836,0.0349
CONT-0078,Prakash-Sagar Infrastructure Pvt Ltd,DIST-0597,ST-17,Class B,5000000.0,0.721,0.0776
CONT-0079,"Sinha, Yogi and Kamdar Infrastructure Pvt Ltd",DIST-0507,ST-15,Class A,5000000.0,0.922,0.0729
CONT-0080,Bumb PLC Infrastructure Pvt Ltd,DIST-0148,ST-03,Class C,5000000.0,0.82,0.1873
CONT-0081,Sekhon Enterprises,DIST-0235,ST-06,Class B,5000000.0,0.948,0.06
CONT-0082,"Pathak, Brahmbhatt and Choudhury Infrastructure Pvt Ltd",DIST-0115,ST-03,Class C,5000000.0,0.708,0.1835
CONT-0083,Bhatia Enterprises,DIST-0047,ST-01,Class C,5000000.0,0.884,0.157
CONT-0084,Tiwari Enterprises,DIST-0618,ST-18,Class B,20000000.0,0.971,0.1554
CONT-0085,Jain Enterprises,DIST-0520,ST-15,Class C,100000000.0,0.88,0.0238
CONT-0086,"Yadav, Doctor and Gala Infrastructure Pvt Ltd",DIST-0374,ST-09,Class C,5000000.0,0.894,0.2709
CONT-0087,Venkatesh-Sathe Infrastructure Pvt Ltd,DIST-0101,ST-02,Class C,5000000.0,0.894,0.0469
CONT-0088,Jha Ltd Infrastructure Pvt Ltd,DIST-0610,ST-18,Class B,100000000.0,0.731,0.007
CONT-0089,"Suresh, Chand and Uppal Infrastructure Pvt Ltd",DIST-0143,ST-03,Class B,20000000.0,0.968,0.0819
CONT-0090,Bhakta-Setty Infrastructure Pvt Ltd,DIST-0348,ST-09,Class A,20000000.0,0.944,0.0524
CONT-0091,Varghese Group Infrastructure Pvt Ltd,DIST-0209,ST-05,Class C,20000000.0,0.839,0.1043
CONT-0092,Bhardwaj-Shere Infrastructure Pvt Ltd,DIST-0484,ST-14,Class B,5000000.0,0.964,0.084
CONT-0093,"Morar, Bains and Randhawa Infrastructure Pvt Ltd",DIST-0170,ST-04,Class A,100000000.0,0.801,0.0328
CONT-0094,Aggarwal-Kamdar Infrastructure Pvt Ltd,DIST-0173,ST-05,Class C,20000000.0,0.78,0.1108
CONT-0095,"Bora, Bath and Sampath Infrastructure Pvt Ltd",DIST-0032,ST-01,Class C,100000000.0,0.884,0.0627
CONT-0096,Padmanabhan Enterprises,DIST-0570,ST-17,Class B,5000000.0,0.875,0.0824
CONT-0097,"Bhatt, Bhasin and Biswas Infrastructure Pvt Ltd",DIST-0605,ST-18,Class A,20000000.0,0.928,0.0375
CONT-0098,Sodhi Enterprises,DIST-0073,ST-01,Class C,5000000.0,0.882,0.2109
CONT-0099,Mangat Group Infrastructure Pvt Ltd,DIST-0449,ST-12,Class B,5000000.0,0.826,0.0225
CONT-0100,Deshmukh Ltd Infrastructure Pvt Ltd,DIST-0431,ST-11,Class C,5000000.0,0.706,0.0136
CONT-0101,"Salvi, Prasad and Raja Infrastructure Pvt Ltd",DIST-0415,ST-11,Class B,5000000.0,0.957,0.3375
CONT-0102,Purohit-Prashad Infrastructure Pvt Ltd,DIST-0152,ST-04,Class B,100000000.0,0.935,0.0948
CONT-0103,Zacharia and Sons Infrastructure Pvt Ltd,DIST-0356,ST-09,Class B,20000000.0,0.783,0.0357
CONT-0104,"Pall, Dani and Gokhale Infrastructure Pvt Ltd",DIST-0457,ST-12,Class C,20000000.0,0.9,0.0426
CONT-0105,"Ramaswamy, Wadhwa and Datta Infrastructure Pvt Ltd",DIST-0293,ST-07,Class C,5000000.0,0.906,0.2429
CONT-0106,"Kapoor, Aggarwal and Bajaj Infrastructure Pvt Ltd",DIST-0422,ST-11,Class A,5000000.0,0.921,0.0643
CONT-0107,Sheth-Samra Infrastructure Pvt Ltd,DIST-0352,ST-09,Class C,20000000.0,0.973,0.0553
CONT-0108,"Raghavan, Karpe and Kota Infrastructure Pvt Ltd",DIST-0225,ST-05,Class B,100000000.0,0.745,0.1743
CONT-0109,Pal-Dubey Infrastructure Pvt Ltd,DIST-0162,ST-04,Class B,100000000.0,0.792,0.1576
CONT-0110,Gulati-Chowdhury Infrastructure Pvt Ltd,DIST-0155,ST-04,Class B,20000000.0,0.92,0.05
CONT-0111,Saini PLC Infrastructure Pvt Ltd,DIST-0029,ST-01,Class C,20000000.0,0.759,0.0445
CONT-0112,Babu Enterprises,DIST-0063,ST-01,Class C,5000000.0,0.707,0.069
CONT-0113,Jhaveri Inc Infrastructure Pvt Ltd,DIST-0212,ST-05,Class A,20000000.0,0.748,0.2249
CONT-0114,Bandi Group Infrastructure Pvt Ltd,DIST-0115,ST-03,Class C,20000000.0,0.772,0.0366
CONT-0115,Bava Enterprises,DIST-0153,ST-04,Class C,5000000.0,0.935,0.0375
CONT-0116,Konda Enterprises,DIST-0362,ST-09,Class B,20000000.0,0.799,0.0125
