agency_id,agency_name,district_id,state_id,agency_type
AGENCY-0001,PUN-District-13 - Municipal Corporation (MC),DIST-0554,ST-16,Rural Development Department (RDD)
AGENCY-0002,KER-District-08 - Panchayati Raj Institution (PRI),DIST-0476,ST-13,Water Supply & Sewerage Board
AGENCY-0003,UTT-District-23 - Public Works Department (PWD),DIST-0023,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0004,CHH-District-13 - Public Works Department (PWD),DIST-0577,ST-17,Municipal Corporation (MC)
AGENCY-0005,CHH-District-17 - Panchayati Raj Institution (PRI),DIST-0581,ST-17,Water Supply & Sewerage Board
AGENCY-0006,KER-District-01 - Rural Development Department (RDD),DIST-0469,ST-13,Water Supply & Sewerage Board
AGENCY-0007,ODI-District-28 - Public Works Department (PWD),DIST-0433,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0008,ODI-District-01 - Water Supply & Sewerage Board,DIST-0406,ST-11,Municipal Corporation (MC)
AGENCY-0009,RAJ-District-30 - Rural Development Department (RDD),DIST-0295,ST-07,Public Works Department (PWD)
AGENCY-0010,UTT-District-56 - Municipal Corporation (MC),DIST-0056,ST-01,Water Supply & Sewerage Board
AGENCY-0011,UTT-District-50 - Municipal Corporation (MC),DIST-0050,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0012,MAH-District-32 - Rural Development Department (RDD),DIST-0107,ST-02,Rural Development Department (RDD)
AGENCY-0013,ODI-District-19 - Rural Development Department (RDD),DIST-0424,ST-11,Water Supply & Sewerage Board
AGENCY-0014,TAM-District-02 - Public Works Department (PWD),DIST-0229,ST-06,Public Works Department (PWD)
AGENCY-0015,TAM-District-21 - Panchayati Raj Institution (PRI),DIST-0248,ST-06,Municipal Corporation (MC)
AGENCY-0016,RAJ-District-32 - Public Works Department (PWD),DIST-0297,ST-07,Rural Development Department (RDD)
AGENCY-0017,GUJ-District-05 - Rural Development Department (RDD),DIST-0351,ST-09,Municipal Corporation (MC)
AGENCY-0018,CHH-District-08 - Rural Development Department (RDD),DIST-0572,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0019,ASS-District-09 - Rural Development Department (RDD),DIST-0515,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0020,MAD-District-17 - Municipal Corporation (MC),DIST-0189,ST-05,Municipal Corporation (MC)
AGENCY-0021,MAH-District-13 - Public Works Department (PWD),DIST-0088,ST-02,Public Works Department (PWD)
AGENCY-0022,UTT-District-08 - Public Works Department (PWD),DIST-0008,ST-01,Municipal Corporation (MC)
AGENCY-0023,PUN-District-19 - Panchayati Raj Institution (PRI),DIST-0560,ST-16,Water Supply & Sewerage Board
AGENCY-0024,TEL-District-17 - Water Supply & Sewerage Board,DIST-0452,ST-12,Municipal Corporation (MC)
AGENCY-0025,BIH-District-13 - Panchayati Raj Institution (PRI),DIST-0124,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0026,AND-District-19 - Municipal Corporation (MC),DIST-0398,ST-10,Public Works Department (PWD)
