constituency_id,constituency_name,district_id,state_id,mp_name,mp_house
PC-0001,UTT-District-01-Seat-01,DIST-0001,ST-01,Hon. MP Isaac Bakshi,Lok Sabha
PC-0002,UTT-District-01-Seat-02,DIST-0001,ST-01,Hon. MP Anvi Konda,Lok Sabha
PC-0003,UTT-District-02-Seat-03,DIST-0002,ST-01,Hon. MP Udant Dewan,Lok Sabha
PC-0004,UTT-District-02-Seat-04,DIST-0002,ST-01,Hon. MP Harsh Chahal,Rajya Sabha
PC-0005,UTT-District-03-Seat-05,DIST-0003,ST-01,Hon. MP Pahal Balay,Lok Sabha
PC-0006,UTT-District-04-Seat-06,DIST-0004,ST-01,Hon. MP Ayushman Chander,Lok Sabha
PC-0007,UTT-District-05-Seat-07,DIST-0005,ST-01,Hon. MP Tejas Kaul,Rajya Sabha
PC-0008,UTT-District-06-Seat-08,DIST-0006,ST-01,Hon. MP Yashasvi Bala,Rajya Sabha
PC-0009,UTT-District-07-Seat-09,DIST-0007,ST-01,Hon. MP Rushil Saini,Lok Sabha
PC-0010,UTT-District-08-Seat-10,DIST-0008,ST-01,Hon. MP Thomas Sen,Lok Sabha
PC-0011,UTT-District-08-Seat-11,DIST-0008,ST-01,Hon. MP Arunima Ahuja,Lok Sabha
PC-0012,UTT-District-09-Seat-12,DIST-0009,ST-01,Hon. MP Nathaniel Sami,Rajya Sabha
PC-0013,UTT-District-10-Seat-13,DIST-0010,ST-01,Hon. MP Harini Mall,Lok Sabha
PC-0014,UTT-District-10-Seat-14,DIST-0010,ST-01,Hon. MP Nachiket Kale,Lok Sabha
PC-0015,UTT-District-11-Seat-15,DIST-0011,ST-01,Hon. MP Gayathri Chaudry,Lok Sabha
PC-0016,UTT-District-11-Seat-16,DIST-0011,ST-01,Hon. MP George Rai,Lok Sabha
PC-0017,UTT-District-12-Seat-17,DIST-0012,ST-01,Hon. MP Gunbir Parmer,Lok Sabha
PC-0018,UTT-District-13-Seat-18,DIST-0013,ST-01,Hon. MP Hemangini Lalla,Rajya Sabha
PC-0019,UTT-District-13-Seat-19,DIST-0013,ST-01,Hon. MP Caleb Sharaf,Rajya Sabha
PC-0020,UTT-District-14-Seat-20,DIST-0014,ST-01,Hon. MP Jeet Radhakrishnan,Lok Sabha
