document_id,project_id,administrative_sanction,technical_sanction,dpr,work_order,measurement_book,utilization_certificate,completion_certificate,geo_tagged_photos,photo_count,required_document_count,available_document_count,missing_document_ratio
DOC-000001,MPLADS-000001,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000002,MPLADS-000002,True,True,True,True,True,True,True,True,3,5,5,0.0
DOC-000003,MPLADS-000003,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000004,MPLADS-000004,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000005,MPLADS-000005,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000006,MPLADS-000006,True,True,True,True,False,True,True,True,3,5,4,0.2
DOC-000007,MPLADS-000007,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000008,MPLADS-000008,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000009,MPLADS-000009,True,True,True,True,True,True,True,True,4,5,5,0.0
DOC-000010,MPLADS-000010,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000011,MPLADS-000011,True,True,True,True,True,True,True,True,3,5,5,0.0
DOC-000012,MPLADS-000012,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000013,MPLADS-000013,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000014,MPLADS-000014,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000015,MPLADS-000015,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000016,MPLADS-000016,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000017,MPLADS-000017,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000018,MPLADS-000018,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000019,MPLADS-000019,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000020,MPLADS-000020,True,True,True,True,True,True,True,True,4,5,5,0.0
DOC-000021,MPLADS-000021,True,True,True,True,True,True,True,True,3,5,5,0.0
DOC-000022,MPLADS-000022,True,True,True,True,True,True,True,True,4,5,5,0.0
DOC-000023,MPLADS-000023,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000024,MPLADS-000024,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000025,MPLADS-000025,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000026,MPLADS-000026,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000027,MPLADS-000027,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000028,MPLADS-000028,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000029,MPLADS-000029,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000030,MPLADS-000030,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000031,MPLADS-000031,True,True,True,True,True,True,True,True,3,5,5,0.0
DOC-000032,MPLADS-000032,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000033,MPLADS-000033,True,True,True,True,True,True,True,True,5,5,5,0.0
DOC-000034,MPLADS-000034,True,True,True,True,True,True,True,True,4,5,5,0.0
DOC-000035,MPLADS-000035,True,True,True,True,True,True,True,True,7,5,5,0.0
DOC-000036,MPLADS-000036,True,True,True,True,True,True,True,True,6,5,5,0.0
DOC-000037,MPLADS-000037,True,True,True,True,True,True,True,True,6,5,5,0.0
