project_id,fraud_label,is_anomalous,risk_level,scenario_type,investigation_priority
MPLADS-000001,0,0,LOW,NORMAL,ROUTINE
MPLADS-000002,0,0,LOW,NORMAL,ROUTINE
MPLADS-000003,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000004,0,0,LOW,NORMAL,ROUTINE
MPLADS-000005,0,0,LOW,NORMAL,ROUTINE
MPLADS-000006,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000007,0,0,LOW,NORMAL,ROUTINE
MPLADS-000008,0,0,LOW,NORMAL,ROUTINE
MPLADS-000009,0,0,LOW,NORMAL,ROUTINE
MPLADS-000010,0,0,LOW,NORMAL,ROUTINE
MPLADS-000011,0,0,LOW,NORMAL,ROUTINE
MPLADS-000012,0,0,LOW,NORMAL,ROUTINE
MPLADS-000013,0,0,LOW,NORMAL,ROUTINE
MPLADS-000014,0,0,LOW,NORMAL,ROUTINE
MPLADS-000015,0,0,LOW,NORMAL,ROUTINE
MPLADS-000016,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000017,0,0,LOW,NORMAL,ROUTINE
MPLADS-000018,0,0,LOW,NORMAL,ROUTINE
MPLADS-000019,0,0,LOW,NORMAL,ROUTINE
MPLADS-000020,0,0,LOW,NORMAL,ROUTINE
MPLADS-000021,1,1,HIGH,ABANDONED_WORK,ELEVATED
MPLADS-000022,0,0,LOW,NORMAL,ROUTINE
MPLADS-000023,0,0,LOW,NORMAL,ROUTINE
MPLADS-000024,0,0,LOW,NORMAL,ROUTINE
MPLADS-000025,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000026,0,0,LOW,NORMAL,ROUTINE
MPLADS-000027,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000028,0,0,LOW,NORMAL,ROUTINE
MPLADS-000029,0,0,LOW,NORMAL,ROUTINE
MPLADS-000030,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000031,0,0,LOW,NORMAL,ROUTINE
MPLADS-000032,0,0,LOW,NORMAL,ROUTINE
MPLADS-000033,0,0,LOW,NORMAL,ROUTINE
MPLADS-000034,0,0,LOW,NORMAL,ROUTINE
MPLADS-000035,0,0,LOW,NORMAL,ROUTINE
MPLADS-000036,0,0,LOW,NORMAL,ROUTINE
MPLADS-000037,0,0,LOW,NORMAL,ROUTINE
MPLADS-000038,0,0,LOW,NORMAL,ROUTINE
MPLADS-000039,0,0,LOW,NORMAL,ROUTINE
MPLADS-000040,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000041,0,0,LOW,NORMAL,ROUTINE
MPLADS-000042,0,0,LOW,NORMAL,ROUTINE
MPLADS-000043,0,0,LOW,NORMAL,ROUTINE
MPLADS-000044,0,0,LOW,NORMAL,ROUTINE
MPLADS-000045,0,0,LOW,NORMAL,ROUTINE
MPLADS-000046,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000047,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000048,0,0,LOW,NORMAL,ROUTINE
MPLADS-000049,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000050,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000051,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000052,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000053,0,0,LOW,NORMAL,ROUTINE
MPLADS-000054,0,0,LOW,NORMAL,ROUTINE
MPLADS-000055,0,0,LOW,NORMAL,ROUTINE
MPLADS-000056,0,0,LOW,NORMAL,ROUTINE
MPLADS-000057,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
