project_id,recommended_amount,estimated_cost,sanctioned_amount,revised_cost,tender_amount,tender_value,released_amount,fund_released,actual_expenditure,unspent_balance,remaining_balance,fund_utilization_ratio,utilization_ratio,release_ratio,expenditure_ratio,cost_per_unit,peer_median_cost,peer_mean_cost,cost_deviation,tender_estimate_deviation,actual_sanction_deviation,cost_overrun,cost_per_km,cost_per_sqft,cost_per_beneficiary,sor_deviation,market_rate_deviation,inflation_adjusted_cost_deviation
MPLADS-000001,2665000.0,2665000.0,2646000.0,2646000.0,2607000.0,2607000.0,2646000.0,2646000.0,2590000.0,56000.0,56000.0,0.9788,0.9788,1.0,0.9788,5743.84,2665400.0,2718700.0,-0.0281,-0.0218,-0.0212,0.0,634614.57,0.0,0.0,-0.0203,-0.0073,-0.0316
MPLADS-000002,2440000.0,2440000.0,2475000.0,2475000.0,2441000.0,2441000.0,2475000.0,2475000.0,2394000.0,81000.0,81000.0,0.9673,0.9673,1.0,0.9673,9407.31,2439900.0,2488700.0,-0.0189,0.0004,-0.0327,0.0,1351954.79,0.0,0.0,0.1543,0.0352,0.056
MPLADS-000003,710000.0,710000.0,721000.0,721000.0,721000.0,721000.0,721000.0,721000.0,643000.0,78000.0,78000.0,0.8918,0.8918,1.0,0.8918,3083.29,710100.0,724300.0,-0.0944,0.0155,-0.1082,0.0,0.0,0.0,882.96,0.0847,0.1305,0.1133
MPLADS-000004,11983000.0,11983000.0,11824000.0,11824000.0,11739000.0,11739000.0,11824000.0,11824000.0,10213000.0,1611000.0,1611000.0,0.8638,0.8638,1.0,0.8638,55316.27,11982800.0,12222500.0,-0.1477,-0.0204,-0.1362,0.0,0.0,8712.52,0.0,-0.0421,0.1038,0.1088
MPLADS-000005,2367000.0,2367000.0,2447000.0,2447000.0,2387000.0,2387000.0,2447000.0,2447000.0,2182000.0,265000.0,265000.0,0.8917,0.8917,1.0,0.8917,7096.19,2367000.0,2414300.0,-0.0782,0.0084,-0.1083,0.0,0.0,0.0,0.0,0.1472,-0.0275,0.048
MPLADS-000006,1183000.0,1183000.0,1209000.0,1209000.0,1189000.0,1189000.0,1209000.0,1209000.0,1076000.0,133000.0,133000.0,0.89,0.89,1.0,0.89,2297.29,1183000.0,1206600.0,-0.0904,0.0051,-0.11,0.0,0.0,444.89,0.0,-0.0113,-0.0252,0.142
MPLADS-000007,3152000.0,3152000.0,3151000.0,3151000.0,3074000.0,3074000.0,3151000.0,3151000.0,2803000.0,348000.0,348000.0,0.8896,0.8896,1.0,0.8896,8903.36,3152500.0,3215500.0,-0.1107,-0.0247,-0.1104,0.0,0.0,1741.73,0.0,0.1399,0.2067,-0.009
MPLADS-000008,3879000.0,3879000.0,3869000.0,3869000.0,3654000.0,3654000.0,3869000.0,3869000.0,3290000.0,579000.0,579000.0,0.8503,0.8503,1.0,0.8503,13962.61,3878800.0,3956400.0,-0.1518,-0.058,-0.1497,0.0,0.0,3079.7,0.0,0.1384,0.016,0.0321
MPLADS-000009,3920000.0,3920000.0,4108000.0,4108000.0,3697000.0,3697000.0,4108000.0,4108000.0,3988000.0,120000.0,120000.0,0.9708,0.9708,1.0,0.9708,192043.04,3919800.0,3998200.0,0.0173,-0.0569,-0.0292,0.0,0.0,1347.26,0.0,0.0606,-0.0301,0.0084
MPLADS-000010,498000.0,498000.0,493000.0,493000.0,465000.0,465000.0,493000.0,493000.0,473000.0,20000.0,20000.0,0.9594,0.9594,1.0,0.9594,25343.57,498200.0,508200.0,-0.0502,-0.0663,-0.0406,0.0,0.0,0.0,0.0,-0.0791,-0.0414,0.0591
