payment_id,project_id,contractor_id,tranche_number,payment_number,payment_amount,payment_date,voucher_number,cumulative_payment,payment_velocity,payment_frequency,payment_concentration,is_round_number,is_final_installment,duplicate_payment_flag,payment_timing_anomaly,measurement_book_verified
PAY-000001-01,MPLADS-000001,CONT-0352,1,1,863300.0,2023-02-23,VCH-000001-01,863300.0,14388.33,60.0,0.3333,0,0,0,0,True
PAY-000001-02,MPLADS-000001,CONT-0352,2,2,863300.0,2023-05-05,VCH-000001-02,1726600.0,14388.33,60.0,0.3333,0,0,0,0,True
PAY-000001-03,MPLADS-000001,CONT-0352,3,3,863400.0,2023-07-16,VCH-000001-03,2590000.0,14390.0,60.0,0.3334,0,1,0,0,True
PAY-000002-01,MPLADS-000002,CONT-0102,1,1,798000.0,2023-11-01,VCH-000002-01,798000.0,13300.0,60.0,0.3333,0,0,0,0,True
PAY-000002-02,MPLADS-000002,CONT-0102,2,2,798000.0,2024-01-09,VCH-000002-02,1596000.0,13300.0,60.0,0.3333,0,0,0,0,True
PAY-000002-03,MPLADS-000002,CONT-0102,3,3,798000.0,2024-03-18,VCH-000002-03,2394000.0,13300.0,60.0,0.3333,0,1,0,0,True
PAY-000003-01,MPLADS-000003,CONT-0258,1,1,321500.0,2022-04-15,VCH-000003-01,321500.0,7144.44,45.0,0.5,0,0,0,0,True
PAY-000003-02,MPLADS-000003,CONT-0258,2,2,321500.0,2022-06-06,VCH-000003-02,643000.0,7144.44,45.0,0.5,0,1,0,0,True
PAY-000004-01,MPLADS-000004,CONT-0307,1,1,3404300.0,2022-12-04,VCH-000004-01,3404300.0,25532.25,133.3,0.3333,0,0,0,0,True
PAY-000004-02,MPLADS-000004,CONT-0307,2,2,3404300.0,2023-04-26,VCH-000004-02,6808600.0,25532.25,133.3,0.3333,0,0,0,0,True
PAY-000004-03,MPLADS-000004,CONT-0307,3,3,3404400.0,2023-09-17,VCH-000004-03,10213000.0,25533.0,133.3,0.3333,0,1,0,0,True
PAY-000005-01,MPLADS-000005,CONT-0007,1,1,727300.0,2022-07-17,VCH-000005-01,727300.0,13636.88,53.3,0.3333,0,0,0,0,True
PAY-000005-02,MPLADS-000005,CONT-0007,2,2,727300.0,2022-09-05,VCH-000005-02,1454600.0,13636.88,53.3,0.3333,0,0,0,0,True
PAY-000005-03,MPLADS-000005,CONT-0007,3,3,727400.0,2022-10-25,VCH-000005-03,2182000.0,13638.75,53.3,0.3334,0,1,0,0,True
PAY-000006-01,MPLADS-000006,CONT-0206,1,1,358700.0,2023-12-04,VCH-000006-01,358700.0,7174.0,50.0,0.3334,0,0,0,0,True
PAY-000006-02,MPLADS-000006,CONT-0206,2,2,358700.0,2024-01-22,VCH-000006-02,717400.0,7174.0,50.0,0.3334,0,0,0,0,True
PAY-000006-03,MPLADS-000006,CONT-0206,3,3,358600.0,2024-03-11,VCH-000006-03,1076000.0,7172.0,50.0,0.3333,0,1,0,0,True
PAY-000007-01,MPLADS-000007,CONT-0290,1,1,934300.0,2022-06-05,VCH-000007-01,934300.0,13347.14,70.0,0.3333,0,0,0,0,True
PAY-000007-02,MPLADS-000007,CONT-0290,2,2,934300.0,2022-08-15,VCH-000007-02,1868600.0,13347.14,70.0,0.3333,0,0,0,0,True
PAY-000007-03,MPLADS-000007,CONT-0290,3,3,934400.0,2022-10-25,VCH-000007-03,2803000.0,13348.57,70.0,0.3334,0,1,0,0,True
PAY-000008-01,MPLADS-000008,CONT-0261,1,1,1096700.0,2022-08-14,VCH-000008-01,1096700.0,15667.14,70.0,0.3333,0,0,0,0,True
PAY-000008-02,MPLADS-000008,CONT-0261,2,2,1096700.0,2022-10-21,VCH-000008-02,2193400.0,15667.14,70.0,0.3333,0,0,0,0,True
PAY-000008-03,MPLADS-000008,CONT-0261,3,3,1096600.0,2022-12-29,VCH-000008-03,3290000.0,15665.71,70.0,0.3333,0,1,0,0,True
PAY-000009-01,MPLADS-000009,CONT-0224,1,1,1329300.0,2023-09-25,VCH-000009-01,1329300.0,18990.0,70.0,0.3333,0,0,0,0,True
PAY-000009-02,MPLADS-000009,CONT-0224,2,2,1329300.0,2023-12-07,VCH-000009-02,2658600.0,18990.0,70.0,0.3333,0,0,0,0,True
PAY-000009-03,MPLADS-000009,CONT-0224,3,3,1329400.0,2024-02-19,VCH-000009-03,3988000.0,18991.43,70.0,0.3334,0,1,0,0,True
PAY-000010-01,MPLADS-000010,CONT-0298,1,1,236500.0,2022-05-10,VCH-000010-01,236500.0,7883.33,30.0,0.5,0,0,0,0,False
PAY-000010-02,MPLADS-000010,CONT-0298,2,2,236500.0,2022-06-07,VCH-000010-02,473000.0,7883.33,30.0,0.5,0,1,0,0,False
PAY-000011-01,MPLADS-000011,CONT-0317,1,1,216000.0,2023-03-07,VCH-000011-01,216000.0,7200.0,30.0,0.5,0,0,0,0,True
PAY-000011-02,MPLADS-000011,CONT-0317,2,2,216000.0,2023-04-15,VCH-000011-02,432000.0,7200.0,30.0,0.5,0,1,0,0,True
PAY-000012-01,MPLADS-000012,CONT-0196,1,1,4901700.0,2024-05-04,VCH-000012-01,4901700.0,36762.75,133.3,0.3333,0,0,0,0,True
PAY-000012-02,MPLADS-000012,CONT-0196,2,2,4901700.0,2024-09-22,VCH-000012-02,9803400.0,36762.75,133.3,0.3333,0,0,0,0,True
PAY-000012-03,MPLADS-000012,CONT-0196,3,3,4901600.0,2025-02-10,VCH-000012-03,14705000.0,36762.0,133.3,0.3333,0,1,0,0,True
PAY-000013-01,MPLADS-000013,CONT-0019,1,1,688700.0,2023-03-27,VCH-000013-01,688700.0,12913.12,53.3,0.3333,0,0,0,0,True
PAY-000013-02,MPLADS-000013,CONT-0019,2,2,688700.0,2023-05-26,VCH-000013-02,1377400.0,12913.12,53.3,0.3333,0,0,0,0,True
PAY-000013-03,MPLADS-000013,CONT-0019,3,3,688600.0,2023-07-25,VCH-000013-03,2066000.0,12911.25,53.3,0.3333,0,1,0,0,True
PAY-000014-01,MPLADS-000014,CONT-0256,1,1,433000.0,2022-10-14,VCH-000014-01,433000.0,9622.22,45.0,0.5,0,0,0,0,True
PAY-000014-02,MPLADS-000014,CONT-0256,2,2,433000.0,2022-12-14,VCH-000014-02,866000.0,9622.22,45.0,0.5,0,1,0,0,True
PAY-000015-01,MPLADS-000015,CONT-0370,1,1,717700.0,2023-01-08,VCH-000015-01,717700.0,11961.67,60.0,0.3333,0,0,0,0,True
PAY-000015-02,MPLADS-000015,CONT-0370,2,2,717700.0,2023-03-13,VCH-000015-02,1435400.0,11961.67,60.0,0.3333,0,0,0,1,True
PAY-000015-03,MPLADS-000015,CONT-0370,3,3,717600.0,2023-05-16,VCH-000015-03,2153000.0,11960.0,60.0,0.3333,0,1,0,0,True
PAY-000016-01,MPLADS-000016,CONT-0162,1,1,4395000.0,2023-01-14,VCH-000016-01,4395000.0,62785.71,70.0,0.3333,0,0,0,0,True
