tender_id,project_id,tender_exists,procurement_method,tender_publication_date,tender_duration,bid_count,qualified_bid_count,single_bid_flag,bid_competition_score,tender_type,winning_bid,winning_bid_amount,winning_bid_deviation,winning_bid_vs_lowest_bid,bid_price_similarity,bidder_disqualification_rate,re_tender_count,tender_cancellation_count,tender_bypass_flag,repeated_winner_flag,bid_rotation_score,repeated_loser_score,procurement_compliance_flag
TND-000001,MPLADS-000001,1,Open e-Tender,2022-11-23,28,6,5,0,1.0,Open e-Tender,2607000.0,2607000.0,-0.0218,0.0426,0.9663,0.13,0,0,0,0,0.115,0.407,1
TND-000002,MPLADS-000002,1,Open e-Tender,2023-08-03,28,6,5,0,1.0,Open e-Tender,2441000.0,2441000.0,0.0004,0.0184,0.8882,0.071,0,0,0,1,0.207,0.167,1
TND-000003,MPLADS-000003,1,Open e-Tender,2022-02-02,29,7,6,0,1.0,Open e-Tender,721000.0,721000.0,0.0155,0.0062,0.966,0.116,0,0,0,0,0.13,0.137,1
TND-000004,MPLADS-000004,1,Open e-Tender,2022-06-23,16,7,7,0,1.0,Open e-Tender,11739000.0,11739000.0,-0.0204,0.0086,0.9393,0.105,0,0,0,0,0.346,0.126,1
TND-000005,MPLADS-000005,1,Open e-Tender,2022-05-08,27,6,5,0,1.0,Open e-Tender,2387000.0,2387000.0,0.0084,0.0356,0.8588,0.05,0,0,0,0,0.263,0.418,1
TND-000006,MPLADS-000006,1,Open e-Tender,2023-09-25,21,4,3,0,0.667,Open e-Tender,1189000.0,1189000.0,0.0051,0.0236,0.9172,0.042,0,0,0,0,0.743,0.482,1
TND-000007,MPLADS-000007,1,Open e-Tender,2022-03-05,16,5,5,0,0.833,Open e-Tender,3074000.0,3074000.0,-0.0247,0.0079,0.932,0.084,0,0,0,0,0.1,0.395,1
TND-000008,MPLADS-000008,1,Open e-Tender,2022-05-17,19,6,6,0,1.0,Open e-Tender,3654000.0,3654000.0,-0.058,0.0217,0.9087,0.122,0,0,0,0,0.305,0.265,1
TND-000009,MPLADS-000009,1,Open e-Tender,2023-06-23,20,3,2,0,0.5,Open e-Tender,3697000.0,3697000.0,-0.0569,0.0358,0.9445,0.236,0,0,0,0,0.664,0.394,1
TND-000010,MPLADS-000010,1,Open e-Tender,2022-03-23,18,5,4,0,0.833,Open e-Tender,465000.0,465000.0,-0.0663,0.0123,0.9674,0.127,0,0,0,0,0.537,0.301,1
TND-000011,MPLADS-000011,1,Open e-Tender,2023-01-06,28,6,5,0,1.0,Open e-Tender,473000.0,473000.0,-0.0386,0.0185,0.977,0.006,0,0,0,0,0.196,0.229,1
TND-000012,MPLADS-000012,1,Open e-Tender,2023-11-25,19,7,6,0,1.0,Open e-Tender,16616000.0,16616000.0,0.0153,0.036,0.908,0.189,0,0,0,0,0.625,0.09,1
TND-000013,MPLADS-000013,1,Open e-Tender,2023-01-05,21,5,4,0,0.833,Open e-Tender,1939000.0,1939000.0,-0.0709,0.0221,0.9066,0.146,0,0,0,0,0.439,0.353,1
TND-000014,MPLADS-000014,1,Open e-Tender,2022-07-24,26,4,3,0,0.667,Open e-Tender,925000.0,925000.0,0.0033,0.0031,0.9817,0.057,0,0,0,0,0.364,0.339,1
TND-000015,MPLADS-000015,1,Direct / Single Inquiry,2022-10-16,18,1,1,1,0.167,Single Tender Inquiry,2245000.0,2245000.0,-0.0776,0.0449,0.0,0.182,0,0,0,1,0.669,0.493,0
TND-000016,MPLADS-000016,1,Open e-Tender,2022-10-12,15,5,5,0,0.833,Open e-Tender,14557000.0,14557000.0,-0.058,0.0384,0.941,0.193,0,0,0,0,0.201,0.196,1
TND-000017,MPLADS-000017,1,Direct / Single Inquiry,2023-02-25,20,1,1,1,0.167,Single Tender Inquiry,1956000.0,1956000.0,-0.0412,0.0289,0.0,0.001,0,0,0,0,0.165,0.358,0
TND-000018,MPLADS-000018,1,Open e-Tender,2022-06-09,15,5,5,0,0.833,Open e-Tender,923000.0,923000.0,-0.0788,0.0155,0.8589,0.097,0,0,0,0,0.534,0.146,1
TND-000019,MPLADS-000019,1,Open e-Tender,2022-02-18,25,5,5,0,0.833,Open e-Tender,2188000.0,2188000.0,-0.0327,0.0472,0.9531,0.137,0,0,0,0,0.199,0.206,1
TND-000020,MPLADS-000020,1,Open e-Tender,2022-10-15,14,4,3,0,0.667,Open e-Tender,13050000.0,13050000.0,-0.0699,0.0434,0.9774,0.18,0,0,0,0,0.151,0.5,1
TND-000021,MPLADS-000021,1,Open e-Tender,2022-04-01,29,7,6,0,1.0,Open e-Tender,2536000.0,2536000.0,0.0168,0.0441,0.9615,0.076,0,0,0,1,0.316,0.428,1
TND-000022,MPLADS-000022,1,Open e-Tender,2023-10-26,25,6,6,0,1.0,Open e-Tender,981000.0,981000.0,-0.063,0.0232,0.9669,0.117,0,0,0,1,0.551,0.329,1
TND-000023,MPLADS-000023,1,Open e-Tender,2023-05-12,17,3,2,0,0.5,Open e-Tender,1466000.0,1466000.0,-0.0674,0.0431,0.9171,0.179,0,0,0,0,0.285,0.387,1
TND-000024,MPLADS-000024,1,Open e-Tender,2022-10-20,26,3,2,0,0.5,Open e-Tender,16629000.0,16629000.0,0.0091,0.0178,0.9787,0.003,0,0,0,1,0.305,0.061,1
TND-000025,MPLADS-000025,1,Open e-Tender,2022-10-10,23,5,5,0,0.833,Open e-Tender,14355000.0,14355000.0,-0.0665,0.0467,0.95,0.196,0,0,0,0,0.619,0.265,1
TND-000026,MPLADS-000026,1,Open e-Tender,2023-06-16,14,5,4,0,0.833,Open e-Tender,10798000.0,10798000.0,-0.0255,0.0282,0.8641,0.131,1,0,0,1,0.731,0.494,1
TND-000027,MPLADS-000027,1,Open e-Tender,2023-03-13,24,4,3,0,0.667,Open e-Tender,2560000.0,2560000.0,-0.0259,0.0115,0.9237,0.029,0,0,0,0,0.566,0.325,1
TND-000028,MPLADS-000028,1,Open e-Tender,2022-02-06,22,5,5,0,0.833,Open e-Tender,958000.0,958000.0,0.0074,0.0257,0.8854,0.202,0,0,0,0,0.566,0.301,1
TND-000029,MPLADS-000029,1,Direct / Single Inquiry,2022-09-07,29,1,1,1,0.167,Single Tender Inquiry,2131000.0,2131000.0,-0.0795,0.0391,0.0,0.079,0,0,0,0,0.598,0.263,0
TND-000030,MPLADS-000030,1,Open e-Tender,2022-10-25,16,4,4,0,0.667,Open e-Tender,3804000.0,3804000.0,-0.0008,0.0007,0.9095,0.171,0,0,0,0,0.472,0.385,1
TND-000031,MPLADS-000031,1,Open e-Tender,2022-07-30,26,7,6,0,1.0,Open e-Tender,1073000.0,1073000.0,0.0075,0.0114,0.8623,0.059,0,0,0,1,0.482,0.18,1
TND-000032,MPLADS-000032,1,Open e-Tender,2022-07-01,25,3,3,0,0.5,Open e-Tender,544000.0,544000.0,-0.0748,0.0113,0.9693,0.129,0,0,0,0,0.484,0.318,1
TND-000033,MPLADS-000033,1,Direct / Single Inquiry,2022-06-09,20,1,1,1,0.167,Single Tender Inquiry,9520000.0,9520000.0,0.0112,0.012,0.0,0.189,0,0,0,1,0.367,0.272,0
TND-000034,MPLADS-000034,1,Open e-Tender,2023-02-06,18,6,6,0,1.0,Open e-Tender,2990000.0,2990000.0,-0.0432,0.036,0.9737,0.248,0,0,0,0,0.315,0.401,1
TND-000035,MPLADS-000035,1,Open e-Tender,2022-02-26,28,7,6,0,1.0,Open e-Tender,1490000.0,1490000.0,-0.0106,0.0068,0.9214,0.181,0,0,0,0,0.231,0.492,1
TND-000036,MPLADS-000036,1,Open e-Tender,2023-08-27,16,7,7,0,1.0,Open e-Tender,3461000.0,3461000.0,-0.0006,0.0238,0.8795,0.038,0,0,0,0,0.508,0.292,1
TND-000037,MPLADS-000037,1,Open e-Tender,2022-10-24,17,7,7,0,1.0,Open e-Tender,1989000.0,1989000.0,-0.0274,0.0174,0.8628,0.154,0,0,0,0,0.199,0.353,1
TND-000038,MPLADS-000038,1,Open e-Tender,2023-01-11,18,5,4,0,0.833,Open e-Tender,695000.0,695000.0,-0.0361,0.0059,0.9375,0.097,0,0,0,0,0.741,0.309,1
TND-000039,MPLADS-000039,1,Open e-Tender,2022-07-11,21,6,6,0,1.0,Open e-Tender,2295000.0,2295000.0,-0.0798,0.0223,0.8554,0.158,0,0,0,0,0.502,0.23,1
