contract_id,project_id,contractor_id,work_order_amount,original_contract_value,final_contract_value,contract_value_change,contract_amendment_count,amendment_value,extension_count,extension_duration,award_date,original_completion_date,revised_completion_date,contract_delay_days,contractor_capacity,contract_value_to_capacity,external_service_provider_flag,subcontractor_count,subcontractor_value_share,end_period_expenditure_ratio,performance_guarantee_submitted
CNTR-000001,MPLADS-000001,CONT-0352,2607000.0,2607000.0,2590000.0,-0.0065,0,0.0,0,0,2022-12-28,2023-06-12,2023-06-12,34,100000000.0,0.0261,0,0,0.051,0.404,True
CNTR-000002,MPLADS-000002,CONT-0102,2441000.0,2441000.0,2394000.0,-0.0193,0,0.0,0,0,2023-09-07,2024-02-20,2024-02-20,27,20000000.0,0.122,0,0,0.253,0.362,True
CNTR-000003,MPLADS-000003,CONT-0258,721000.0,721000.0,643000.0,-0.1082,0,0.0,0,0,2022-03-09,2022-05-24,2022-05-24,13,5000000.0,0.1442,0,1,0.067,0.547,True
CNTR-000004,MPLADS-000004,CONT-0307,11739000.0,11739000.0,10213000.0,-0.13,0,0.0,0,0,2022-07-28,2023-08-18,2023-08-18,30,20000000.0,0.587,0,0,0.087,0.443,True
CNTR-000005,MPLADS-000005,CONT-0007,2387000.0,2387000.0,2182000.0,-0.0859,0,0.0,0,0,2022-06-12,2022-11-05,2022-11-05,0,5000000.0,0.4774,0,1,0.298,0.421,True
CNTR-000006,MPLADS-000006,CONT-0206,1189000.0,1189000.0,1076000.0,-0.095,0,0.0,0,0,2023-10-30,2024-03-14,2024-03-14,0,20000000.0,0.0594,0,2,0.006,0.356,True
CNTR-000007,MPLADS-000007,CONT-0290,3074000.0,3074000.0,2803000.0,-0.0882,0,0.0,0,0,2022-04-09,2022-10-22,2022-10-22,3,20000000.0,0.1537,0,0,0.076,0.244,True
CNTR-000008,MPLADS-000008,CONT-0261,3654000.0,3654000.0,3290000.0,-0.0996,0,0.0,0,0,2022-06-21,2023-01-03,2023-01-03,0,5000000.0,0.7308,0,0,0.176,0.402,True
CNTR-000009,MPLADS-000009,CONT-0224,3697000.0,3697000.0,3988000.0,0.0787,0,291000.0,0,0,2023-07-28,2024-02-09,2024-02-09,10,5000000.0,0.7394,0,1,0.161,0.361,True
CNTR-000010,MPLADS-000010,CONT-0298,465000.0,465000.0,473000.0,0.0172,0,8000.0,0,0,2022-04-27,2022-06-12,2022-06-12,0,100000000.0,0.0046,0,2,0.106,0.314,True
CNTR-000011,MPLADS-000011,CONT-0317,473000.0,473000.0,432000.0,-0.0867,0,0.0,0,0,2023-02-10,2023-03-28,2023-03-28,18,5000000.0,0.0946,0,0,0.196,0.395,True
CNTR-000012,MPLADS-000012,CONT-0196,16616000.0,16616000.0,14705000.0,-0.115,0,0.0,0,0,2023-12-30,2025-01-19,2025-01-19,22,5000000.0,3.3232,0,0,0.186,0.249,True
CNTR-000013,MPLADS-000013,CONT-0019,1939000.0,1939000.0,2066000.0,0.0655,0,127000.0,0,0,2023-02-09,2023-07-05,2023-07-05,20,5000000.0,0.3878,0,0,0.085,0.237,True
CNTR-000014,MPLADS-000014,CONT-0256,925000.0,925000.0,866000.0,-0.0638,0,0.0,0,0,2022-08-28,2022-11-12,2022-11-12,32,5000000.0,0.185,0,0,0.26,0.212,True
CNTR-000015,MPLADS-000015,CONT-0370,2245000.0,2245000.0,2153000.0,-0.041,0,0.0,0,0,2022-11-20,2023-05-05,2023-05-05,11,20000000.0,0.1122,0,0,0.23,0.352,True
CNTR-000016,MPLADS-000016,CONT-0162,14557000.0,14557000.0,13185000.0,-0.0943,0,0.0,0,0,2022-11-16,2023-05-31,2023-05-31,10,20000000.0,0.7278,0,0,0.005,0.515,True
CNTR-000017,MPLADS-000017,CONT-0078,1956000.0,1956000.0,1946000.0,-0.0051,0,0.0,0,0,2023-04-01,2023-09-14,2023-09-14,20,100000000.0,0.0196,0,0,0.177,0.506,True
CNTR-000018,MPLADS-000018,CONT-0367,923000.0,923000.0,884000.0,-0.0423,0,0.0,0,0,2022-07-14,2022-09-28,2022-09-28,0,20000000.0,0.0461,0,0,0.156,0.379,True
CNTR-000019,MPLADS-000019,CONT-0371,2188000.0,2188000.0,1985000.0,-0.0928,0,0.0,0,0,2022-03-25,2022-10-07,2022-10-07,17,5000000.0,0.4376,0,0,0.295,0.184,True
CNTR-000020,MPLADS-000020,CONT-0274,13050000.0,13050000.0,13494000.0,0.034,0,444000.0,0,0,2022-11-19,2023-06-03,2023-06-03,0,5000000.0,2.61,0,0,0.149,0.297,True
CNTR-000021,MPLADS-000021,CONT-0126,2536000.0,2536000.0,2132000.0,-0.1593,0,0.0,0,0,2022-05-06,2022-08-20,2022-08-20,0,100000000.0,0.0254,0,0,0.106,0.15,True
CNTR-000022,MPLADS-000022,CONT-0196,981000.0,981000.0,954000.0,-0.0275,0,0.0,0,0,2023-11-30,2024-02-14,2024-02-14,12,5000000.0,0.1962,0,1,0.197,0.5,True
CNTR-000023,MPLADS-000023,CONT-0371,1466000.0,1466000.0,1525000.0,0.0402,0,59000.0,0,0,2023-06-16,2023-10-30,2023-10-30,0,5000000.0,0.2932,0,0,0.108,0.397,True
CNTR-000024,MPLADS-000024,CONT-0068,16629000.0,16629000.0,16257000.0,-0.0224,0,0.0,0,0,2022-11-24,2023-12-15,2023-12-15,9,20000000.0,0.8314,0,0,0.214,0.412,True
CNTR-000025,MPLADS-000025,CONT-0135,14355000.0,14355000.0,24766000.0,0.7253,0,10411000.0,0,0,2022-11-14,2023-12-05,2023-12-05,0,100000000.0,0.1436,0,2,0.046,0.292,True
CNTR-000026,MPLADS-000026,CONT-0281,10798000.0,10798000.0,9898000.0,-0.0833,0,0.0,0,0,2023-07-21,2024-08-10,2024-08-10,0,100000000.0,0.108,0,0,0.1,0.153,True
CNTR-000027,MPLADS-000027,CONT-0357,2560000.0,2560000.0,2566000.0,0.0023,0,6000.0,0,0,2023-04-17,2023-09-30,2023-09-30,9,5000000.0,0.512,0,0,0.255,0.269,True
CNTR-000028,MPLADS-000028,CONT-0266,958000.0,958000.0,829000.0,-0.1347,0,0.0,0,0,2022-03-13,2022-05-28,2022-05-28,5,20000000.0,0.0479,0,0,0.109,0.158,True
CNTR-000029,MPLADS-000029,CONT-0049,2131000.0,2131000.0,2304000.0,0.0812,0,173000.0,0,0,2022-10-12,2023-03-07,2023-03-07,0,5000000.0,0.4262,0,2,0.257,0.466,True
CNTR-000030,MPLADS-000030,CONT-0236,3804000.0,3804000.0,3745000.0,-0.0155,0,0.0,0,0,2022-11-29,2023-06-13,2023-06-13,19,20000000.0,0.1902,0,1,0.192,0.426,True
CNTR-000031,MPLADS-000031,CONT-0065,1073000.0,1073000.0,921000.0,-0.1417,0,0.0,0,0,2022-09-03,2022-11-18,2022-11-18,31,5000000.0,0.2146,0,1,0.121,0.436,True
CNTR-000032,MPLADS-000032,CONT-0156,544000.0,544000.0,519000.0,-0.046,0,0.0,0,0,2022-08-05,2022-09-20,2022-09-20,0,20000000.0,0.0272,0,0,0.141,0.246,True
CNTR-000033,MPLADS-000033,CONT-0066,9520000.0,9520000.0,9504000.0,-0.0017,0,0.0,0,0,2022-07-14,2023-08-04,2023-08-04,9,5000000.0,1.904,0,0,0.195,0.482,True
CNTR-000034,MPLADS-000034,CONT-0375,2990000.0,2990000.0,2720000.0,-0.0903,0,0.0,0,0,2023-03-13,2023-08-26,2023-08-26,0,5000000.0,0.598,0,0,0.109,0.357,True
CNTR-000035,MPLADS-000035,CONT-0140,1490000.0,1490000.0,1429000.0,-0.0409,0,0.0,0,0,2022-04-02,2022-07-17,2022-07-17,0,5000000.0,0.298,0,2,0.291,0.395,True
CNTR-000036,MPLADS-000036,CONT-0349,3461000.0,3461000.0,5011000.0,0.4478,0,1550000.0,0,0,2023-10-01,2024-04-14,2024-04-14,33,5000000.0,0.6922,0,0,0.117,0.505,True
CNTR-000037,MPLADS-000037,CONT-0120,1989000.0,1989000.0,1866000.0,-0.0618,3,0.0,3,90,2022-11-28,2023-04-23,2023-07-22,320,5000000.0,0.3978,0,2,0.027,0.461,True
CNTR-000038,MPLADS-000038,CONT-0249,695000.0,695000.0,670000.0,-0.036,0,0.0,0,0,2023-02-15,2023-05-02,2023-05-02,0,20000000.0,0.0348,0,0,0.13,0.311,True
CNTR-000039,MPLADS-000039,CONT-0185,2295000.0,2295000.0,2501000.0,0.0898,0,206000.0,0,0,2022-08-15,2022-11-29,2022-11-29,0,20000000.0,0.1148,0,1,0.062,0.187,True
CNTR-000040,MPLADS-000040,CONT-0090,1709000.0,1709000.0,1701000.0,-0.0047,0,0.0,0,0,2023-08-01,2023-11-15,2023-11-15,12,20000000.0,0.0854,0,0,0.156,0.363,True
CNTR-000041,MPLADS-000041,CONT-0179,1724000.0,1724000.0,1632000.0,-0.0534,0,0.0,0,0,2022-05-06,2022-09-19,2022-09-19,5,20000000.0,0.0862,0,0,0.137,0.191,True
CNTR-000042,MPLADS-000042,CONT-0373,659000.0,659000.0,565000.0,-0.1426,0,0.0,0,0,2023-11-08,2024-01-23,2024-01-23,2,20000000.0,0.033,0,0,0.195,0.236,True
CNTR-000043,MPLADS-000043,CONT-0209,14390000.0,14390000.0,12844000.0,-0.1074,0,0.0,0,0,2022-10-20,2023-11-10,2023-11-10,0,5000000.0,2.878,0,1,0.286,0.382,True
CNTR-000044,MPLADS-000044,CONT-0171,2481000.0,2481000.0,2337000.0,-0.058,0,0.0,0,0,2023-11-18,2024-04-12,2024-04-12,24,20000000.0,0.124,0,2,0.145,0.201,True
CNTR-000045,MPLADS-000045,CONT-0281,651000.0,651000.0,293000.0,-0.5499,0,0.0,0,0,2023-03-21,2023-05-06,2023-05-06,0,100000000.0,0.0065,0,0,0.07,0.278,True
CNTR-000046,MPLADS-000046,CONT-0043,475000.0,475000.0,655000.0,0.3789,0,180000.0,0,0,2023-02-06,2023-03-24,2023-03-24,12,5000000.0,0.095,0,0,0.083,0.498,True
CNTR-000047,MPLADS-000047,CONT-0357,1990000.0,1990000.0,1885000.0,-0.0528,0,0.0,0,0,2023-09-18,2024-04-01,2024-04-01,31,5000000.0,0.398,0,1,0.112,0.322,True
CNTR-000048,MPLADS-000048,CONT-0226,3153000.0,3153000.0,2868000.0,-0.0904,0,0.0,0,0,2022-09-25,2023-04-09,2023-04-09,19,20000000.0,0.1577,0,0,0.188,0.477,True
CNTR-000049,MPLADS-000049,CONT-0157,2498000.0,2498000.0,2379000.0,-0.0476,0,0.0,0,0,2022-11-04,2023-03-30,2023-03-30,0,20000000.0,0.1249,0,0,0.06,0.338,True
CNTR-000050,MPLADS-000050,CONT-0400,3601000.0,3601000.0,3520000.0,-0.0225,0,0.0,0,0,2022-05-21,2022-12-03,2022-12-03,12,20000000.0,0.18,0,0,0.009,0.361,True
CNTR-000051,MPLADS-000051,CONT-0388,1500000.0,1500000.0,1356000.0,-0.096,0,0.0,0,0,2023-07-16,2023-12-09,2023-12-09,12,20000000.0,0.075,0,1,0.21,0.238,True
CNTR-000052,MPLADS-000052,CONT-0260,1993000.0,1993000.0,1857000.0,-0.0682,3,0.0,3,90,2022-09-14,2023-02-07,2023-05-08,320,20000000.0,0.0996,0,0,0.228,0.491,True
CNTR-000053,MPLADS-000053,CONT-0133,680000.0,680000.0,708000.0,0.0412,0,28000.0,0,0,2023-06-05,2023-08-20,2023-08-20,0,20000000.0,0.034,0,0,0.072,0.545,True
CNTR-000054,MPLADS-000054,CONT-0023,494000.0,494000.0,521000.0,0.0547,0,27000.0,0,0,2023-02-16,2023-04-03,2023-04-03,24,20000000.0,0.0247,0,0,0.057,0.349,True
CNTR-000055,MPLADS-000055,CONT-0145,16745000.0,16745000.0,14769000.0,-0.118,0,0.0,0,0,2023-11-10,2024-05-24,2024-05-24,0,20000000.0,0.8372,0,0,0.29,0.282,True
CNTR-000056,MPLADS-000056,CONT-0166,1410000.0,1410000.0,1322000.0,-0.0624,0,0.0,0,0,2023-03-19,2023-07-03,2023-07-03,29,20000000.0,0.0705,0,0,0.077,0.162,True
CNTR-000057,MPLADS-000057,CONT-0157,508000.0,508000.0,469000.0,-0.0768,0,0.0,0,0,2023-02-21,2023-04-08,2023-04-08,31,20000000.0,0.0254,0,1,0.111,0.345,True
CNTR-000058,MPLADS-000058,CONT-0254,1971000.0,1971000.0,1887000.0,-0.0426,0,0.0,0,0,2022-08-11,2022-12-25,2022-12-25,4,20000000.0,0.0986,0,0,0.264,0.303,True
CNTR-000059,MPLADS-000059,CONT-0056,387000.0,387000.0,357000.0,-0.0775,0,0.0,0,0,2023-07-01,2023-08-16,2023-08-16,0,100000000.0,0.0039,0,0,0.293,0.253,True
CNTR-000060,MPLADS-000060,CONT-0233,3761000.0,3761000.0,3757000.0,-0.0011,0,0.0,0,0,2022-06-24,2023-01-06,2023-01-06,5,20000000.0,0.188,0,2,0.114,0.401,True
CNTR-000061,MPLADS-000061,CONT-0015,4189000.0,4189000.0,4081000.0,-0.0258,0,0.0,0,0,2023-02-18,2023-05-05,2023-05-05,18,5000000.0,0.8378,0,0,0.179,0.438,True
CNTR-000062,MPLADS-000062,CONT-0069,2182000.0,2182000.0,1886000.0,-0.1357,0,0.0,0,0,2023-05-08,2023-08-22,2023-08-22,7,20000000.0,0.1091,0,1,0.193,0.451,True
CNTR-000063,MPLADS-000063,CONT-0395,2537000.0,2537000.0,3916000.0,0.5436,0,1379000.0,0,0,2023-10-12,2024-03-26,2024-03-26,0,20000000.0,0.1268,0,2,0.258,0.188,True
CNTR-000064,MPLADS-000064,CONT-0226,3874000.0,3874000.0,3652000.0,-0.0573,4,0.0,4,120,2022-07-24,2023-02-05,2023-06-05,630,20000000.0,0.1937,0,1,0.29,0.282,True
CNTR-000065,MPLADS-000065,CONT-0360,12431000.0,12431000.0,18489000.0,0.4873,0,6058000.0,0,0,2022-03-21,2023-04-11,2023-04-11,20,20000000.0,0.6216,0,1,0.167,0.298,True
CNTR-000066,MPLADS-000066,CONT-0308,605000.0,605000.0,535000.0,-0.1157,0,0.0,0,0,2023-05-30,2023-08-14,2023-08-14,20,100000000.0,0.006,0,1,0.107,0.375,True
