contractor_id,contractor_name,home_district_id,home_state_id,registration_category,financial_capacity,base_quality_score,past_irregularity_rate,contractor_past_irregularity_rate,contractor_capacity_strain,contractor_project_count,contractor_total_contract_value,contractor_average_contract_value,contractor_max_contract_value,contractor_project_share,contractor_value_share,contractor_district_concentration,contractor_agency_concentration,contractor_constituency_concentration,contractor_delay_rate,contractor_completion_rate,contractor_cancellation_rate,contractor_previous_irregularities,contractor_financial_capacity,contractor_value_to_capacity,repeated_agency_contractor_pair,shared_ownership,shared_directors,shared_shareholders,shared_address,beneficial_owner_overlap,contractor_financial_health,company_ownership_change,director_change,address_change
CONT-0001,Kari Enterprises,DIST-0097,ST-02,Class C,5000000.0,0.736,0.1993,0.1597,1.403,20,146478356.28359735,5830074.375239756,27028795.969871484,0.2187,0.1764,0.793,0.609,0.107,0.278,0.859,0.073,0,20000000.0,0.865,0,1,1,0,0,0,0.945,0,0,0
CONT-0002,Behl Enterprises,DIST-0589,ST-17,Class C,5000000.0,0.899,0.1037,0.0778,1.02,13,163994962.93879184,9989331.236838391,5467914.567956324,0.2166,0.2966,0.777,0.241,0.328,0.219,0.709,0.034,0,5000000.0,1.136,0,0,0,0,0,0,0.571,0,0,0
CONT-0003,"Srinivasan, Garde and Viswanathan Infrastructure Pvt Ltd",DIST-0193,ST-05,Class B,20000000.0,0.723,0.0416,0.0994,1.677,35,41982674.66344741,11707423.391793378,23833884.966649394,0.0152,0.2161,0.298,0.347,0.622,0.153,0.944,0.053,1,20000000.0,1.416,0,0,0,0,0,0,0.777,0,0,0
CONT-0004,"Rai, Divan and Kibe Infrastructure Pvt Ltd",DIST-0495,ST-14,Class B,5000000.0,0.864,0.0956,0.0502,1.148,24,189874630.98942152,5784276.128065875,10575077.417976102,0.3162,0.3431,0.24,0.777,0.173,0.075,0.9,0.043,0,100000000.0,1.375,1,0,0,0,0,0,0.89,0,0,0
CONT-0005,Balay Enterprises,DIST-0530,ST-15,Class C,5000000.0,0.728,0.0598,0.0207,1.669,14,76122601.46916384,13523205.449506026,35637016.66219436,0.3145,0.0708,0.914,0.629,0.601,0.416,0.776,0.058,0,20000000.0,1.456,0,0,0,0,0,0,0.631,0,0,0
CONT-0006,Choudhary Enterprises,DIST-0185,ST-05,Class C,5000000.0,0.871,0.1075,0.3847,0.902,37,94374252.87312007,11701552.041766081,41059279.6797138,0.3078,0.1047,0.595,0.356,0.128,0.333,0.831,0.058,0,100000000.0,1.592,0,0,0,0,0,0,0.657,0,0,0
CONT-0007,Bahl Group Infrastructure Pvt Ltd,DIST-0382,ST-10,Class B,5000000.0,0.732,0.0439,0.0713,1.464,33,132102611.73260313,11449709.134504363,36736904.74581663,0.2923,0.0344,0.766,0.56,0.156,0.322,0.886,0.042,1,5000000.0,0.483,0,0,0,0,0,0,0.856,0,0,0
CONT-0008,Sahota-Doshi Infrastructure Pvt Ltd,DIST-0350,ST-09,Class B,20000000.0,0.922,0.1092,0.067,1.063,4,100478516.55292895,6326723.2100962885,17183105.727324206,0.2029,0.1903,0.867,0.859,0.265,0.09,0.909,0.08,1,5000000.0,0.552,1,0,0,0,0,0,0.806,0,0,0
CONT-0009,Jani-Roy Infrastructure Pvt Ltd,DIST-0123,ST-03,Class C,20000000.0,0.793,0.0131,0.0997,0.632,5,155772508.82307938,4293229.573107394,37062347.46634495,0.1055,0.1315,0.368,0.75,0.82,0.247,0.664,0.021,0,100000000.0,0.319,0,1,1,0,0,0,0.778,0,1,0
CONT-0010,Thaker Enterprises,DIST-0296,ST-07,Class A,100000000.0,0.708,0.049,0.0619,1.746,25,136962544.01765624,5543391.680852143,16886329.861165464,0.2122,0.3212,0.783,0.808,0.32,0.236,0.653,0.06,0,20000000.0,0.437,0,0,0,0,0,0,0.936,0,0,0
