agency_id,agency_name,district_id,agency_workload_ratio,agency_completion_rate
AGY-0001,DRDA DIST-392,DIST-392,0.62,75.4
AGY-0002,Zilla Parishad DIST-275,DIST-275,0.86,87.1
AGY-0003,PWD Division DIST-485,DIST-485,0.85,79.3
AGY-0004,Rural Engineering Dept DIST-409,DIST-409,0.87,87.5
AGY-0005,Rural Engineering Dept DIST-341,DIST-341,0.62,76.7
AGY-0006,Rural Engineering Dept DIST-326,DIST-326,1.15,94.7
AGY-0007,Rural Engineering Dept DIST-086,DIST-086,0.58,66.3
AGY-0008,Zilla Parishad DIST-141,DIST-141,1.03,81.0
AGY-0009,Rural Engineering Dept DIST-134,DIST-134,0.55,66.5
AGY-0010,PWD Division DIST-193,DIST-193,1.54,68.6
AGY-0011,PWD Division DIST-026,DIST-026,0.51,92.2
AGY-0012,Zilla Parishad DIST-390,DIST-390,0.71,74.4
AGY-0013,Rural Engineering Dept DIST-421,DIST-421,1.0,86.2
AGY-0014,Rural Engineering Dept DIST-479,DIST-479,1.54,68.1
AGY-0015,Rural Engineering Dept DIST-301,DIST-301,0.8,76.7
AGY-0016,Rural Engineering Dept DIST-188,DIST-188,1.52,87.2
AGY-0017,DRDA DIST-127,DIST-127,1.3,75.0
AGY-0018,PWD Division DIST-344,DIST-344,1.34,81.5
AGY-0019,Rural Engineering Dept DIST-334,DIST-334,1.31,90.3
AGY-0020,Rural Engineering Dept DIST-212,DIST-212,1.36,90.2
AGY-0021,DRDA DIST-110,DIST-110,1.26,70.8
AGY-0022,Rural Engineering Dept DIST-265,DIST-265,1.09,93.2
AGY-0023,Rural Engineering Dept DIST-440,DIST-440,1.39,80.7
AGY-0024,Rural Engineering Dept DIST-246,DIST-246,1.41,92.1
AGY-0025,Zilla Parishad DIST-099,DIST-099,1.41,70.5
AGY-0026,Zilla Parishad DIST-436,DIST-436,1.5,69.0
AGY-0027,PWD Division DIST-270,DIST-270,0.4,90.0
AGY-0028,Zilla Parishad DIST-341,DIST-341,1.33,69.6
AGY-0029,DRDA DIST-437,DIST-437,1.27,73.4
AGY-0030,DRDA DIST-371,DIST-371,1.2,70.8
AGY-0031,DRDA DIST-035,DIST-035,0.63,88.2
AGY-0032,Rural Engineering Dept DIST-145,DIST-145,0.85,69.8
AGY-0033,Zilla Parishad DIST-278,DIST-278,1.58,87.5
AGY-0034,Zilla Parishad DIST-277,DIST-277,0.71,65.6
AGY-0035,Rural Engineering Dept DIST-225,DIST-225,1.55,68.3
AGY-0036,Zilla Parishad DIST-131,DIST-131,0.58,89.6
AGY-0037,PWD Division DIST-168,DIST-168,1.25,93.7
AGY-0038,DRDA DIST-309,DIST-309,1.5,72.3
AGY-0039,DRDA DIST-057,DIST-057,1.45,68.3
AGY-0040,Rural Engineering Dept DIST-405,DIST-405,1.51,67.4
AGY-0041,PWD Division DIST-268,DIST-268,1.27,94.4
AGY-0042,DRDA DIST-391,DIST-391,0.81,85.0
AGY-0043,DRDA DIST-084,DIST-084,0.61,77.5
AGY-0044,Zilla Parishad DIST-450,DIST-450,1.0,81.8
AGY-0045,Rural Engineering Dept DIST-022,DIST-022,1.25,81.9
AGY-0046,PWD Division DIST-354,DIST-354,1.47,89.6
AGY-0047,PWD Division DIST-217,DIST-217,1.24,81.7
AGY-0048,Rural Engineering Dept DIST-159,DIST-159,1.08,71.0
AGY-0049,Zilla Parishad DIST-431,DIST-431,0.73,69.7
AGY-0050,PWD Division DIST-330,DIST-330,0.99,71.2
AGY-0051,PWD Division DIST-110,DIST-110,0.4,91.2
AGY-0052,Zilla Parishad DIST-475,DIST-475,1.51,71.3
AGY-0053,DRDA DIST-403,DIST-403,1.15,86.9
AGY-0054,Zilla Parishad DIST-017,DIST-017,0.42,77.6
AGY-0055,DRDA DIST-420,DIST-420,0.82,80.7
AGY-0056,Rural Engineering Dept DIST-149,DIST-149,1.56,69.5
AGY-0057,Rural Engineering Dept DIST-396,DIST-396,0.68,71.8
AGY-0058,Rural Engineering Dept DIST-447,DIST-447,1.33,95.3
AGY-0059,Zilla Parishad DIST-138,DIST-138,0.59,72.0
AGY-0060,Rural Engineering Dept DIST-332,DIST-332,1.03,74.2
AGY-0061,DRDA DIST-367,DIST-367,1.5,88.4
AGY-0062,PWD Division DIST-362,DIST-362,1.58,89.6
AGY-0063,PWD Division DIST-404,DIST-404,0.53,82.2
AGY-0064,DRDA DIST-203,DIST-203,1.38,92.8
AGY-0065,Zilla Parishad DIST-254,DIST-254,1.32,81.6
AGY-0066,DRDA DIST-431,DIST-431,1.34,82.5
AGY-0067,DRDA DIST-420,DIST-420,0.47,83.2
AGY-0068,Rural Engineering Dept DIST-265,DIST-265,0.6,90.3
AGY-0069,Rural Engineering Dept DIST-319,DIST-319,0.79,80.2
AGY-0070,Rural Engineering Dept DIST-040,DIST-040,1.07,68.2
AGY-0071,DRDA DIST-372,DIST-372,1.51,92.0
AGY-0072,PWD Division DIST-198,DIST-198,1.09,68.5
AGY-0073,PWD Division DIST-030,DIST-030,0.7,80.1
AGY-0074,Rural Engineering Dept DIST-111,DIST-111,0.95,68.9
AGY-0075,Zilla Parishad DIST-278,DIST-278,0.6,88.3
AGY-0076,Rural Engineering Dept DIST-249,DIST-249,0.98,86.5
AGY-0077,Zilla Parishad DIST-063,DIST-063,0.49,82.5
AGY-0078,DRDA DIST-467,DIST-467,1.11,88.4
AGY-0079,Zilla Parishad DIST-393,DIST-393,0.99,93.8
AGY-0080,Zilla Parishad DIST-301,DIST-301,1.6,69.9
AGY-0081,Rural Engineering Dept DIST-292,DIST-292,1.18,92.0
AGY-0082,Zilla Parishad DIST-441,DIST-441,0.74,69.1
AGY-0083,Zilla Parishad DIST-112,DIST-112,0.91,93.2
AGY-0084,DRDA DIST-442,DIST-442,0.55,74.2
AGY-0085,PWD Division DIST-315,DIST-315,1.41,76.9
AGY-0086,DRDA DIST-121,DIST-121,0.69,86.5
AGY-0087,DRDA DIST-460,DIST-460,0.73,65.8
AGY-0088,DRDA DIST-469,DIST-469,0.45,92.9
AGY-0089,Zilla Parishad DIST-348,DIST-348,1.28,87.5
AGY-0090,Rural Engineering Dept DIST-070,DIST-070,0.49,89.9
AGY-0091,Rural Engineering Dept DIST-141,DIST-141,1.22,89.2
AGY-0092,DRDA DIST-309,DIST-309,0.57,89.6
AGY-0093,Zilla Parishad DIST-046,DIST-046,1.39,78.6
AGY-0094,Rural Engineering Dept DIST-294,DIST-294,0.61,88.1
AGY-0095,DRDA DIST-241,DIST-241,0.89,80.3
AGY-0096,Rural Engineering Dept DIST-398,DIST-398,0.69,76.7
