district_id,district_name,state_id,state_name,district_latitude,district_longitude,population,population_density,literacy_rate,poverty_rate,infrastructure_gap_index,geographic_cluster_id
DIST-0001,UTT-District-01,ST-01,Uttar Pradesh,29.03071,80.29159,1329323,1106.6,65.0,37.3,0.683,GEO-CLUST-01
DIST-0002,UTT-District-02,ST-01,Uttar Pradesh,26.41019,83.95074,1010961,1269.6,76.2,14.8,0.538,GEO-CLUST-02
DIST-0003,UTT-District-03,ST-01,Uttar Pradesh,28.10582,82.68566,749849,1461.9,90.6,31.4,0.286,GEO-CLUST-03
DIST-0004,UTT-District-04,ST-01,Uttar Pradesh,25.00288,82.12287,2319028,1457.8,72.4,19.1,0.479,GEO-CLUST-04
DIST-0005,UTT-District-05,ST-01,Uttar Pradesh,24.84449,80.56779,708005,1070.8,76.0,33.0,0.64,GEO-CLUST-05
DIST-0006,UTT-District-06,ST-01,Uttar Pradesh,29.23097,79.90609,1074617,1087.2,66.5,14.0,0.155,GEO-CLUST-06
DIST-0007,UTT-District-07,ST-01,Uttar Pradesh,28.32153,82.28874,866425,796.6,80.2,12.2,0.23,GEO-CLUST-07
DIST-0008,UTT-District-08,ST-01,Uttar Pradesh,27.67403,82.73749,1050840,919.7,79.9,17.1,0.172,GEO-CLUST-08
DIST-0009,UTT-District-09,ST-01,Uttar Pradesh,26.65544,83.40052,625736,275.8,71.0,16.8,0.613,GEO-CLUST-09
DIST-0010,UTT-District-10,ST-01,Uttar Pradesh,28.31804,80.0479,1181990,417.1,62.7,10.7,0.656,GEO-CLUST-10
DIST-0011,UTT-District-11,ST-01,Uttar Pradesh,27.25679,78.14234,1177156,780.0,74.2,17.0,0.591,GEO-CLUST-11
DIST-0012,UTT-District-12,ST-01,Uttar Pradesh,30.25233,83.81436,685434,545.6,93.0,31.4,0.652,GEO-CLUST-12
DIST-0013,UTT-District-13,ST-01,Uttar Pradesh,25.76957,77.72293,859741,792.5,68.5,17.2,0.555,GEO-CLUST-13
DIST-0014,UTT-District-14,ST-01,Uttar Pradesh,28.67651,80.2407,993253,959.3,82.8,10.5,0.441,GEO-CLUST-14
