constituency_id,constituency_name,district_id,state_id,mp_name,mp_house
PC-0001,UTT-District-01-Seat-01,DIST-0001,ST-01,Hon. MP Isaac Bakshi,Lok Sabha
PC-0002,UTT-District-02-Seat-02,DIST-0002,ST-01,Hon. MP Anvi Konda,Lok Sabha
PC-0003,UTT-District-03-Seat-03,DIST-0003,ST-01,Hon. MP Udant Dewan,Lok Sabha
PC-0004,UTT-District-04-Seat-04,DIST-0004,ST-01,Hon. MP Harsh Chahal,Lok Sabha
PC-0005,UTT-District-05-Seat-05,DIST-0005,ST-01,Hon. MP Pahal Balay,Lok Sabha
PC-0006,UTT-District-05-Seat-06,DIST-0005,ST-01,Hon. MP Ayushman Chander,Lok Sabha
PC-0007,UTT-District-06-Seat-07,DIST-0006,ST-01,Hon. MP Tejas Kaul,Lok Sabha
PC-0008,UTT-District-07-Seat-08,DIST-0007,ST-01,Hon. MP Yashasvi Bala,Lok Sabha
PC-0009,UTT-District-07-Seat-09,DIST-0007,ST-01,Hon. MP Rushil Saini,Lok Sabha
PC-0010,UTT-District-08-Seat-10,DIST-0008,ST-01,Hon. MP Thomas Sen,Rajya Sabha
PC-0011,UTT-District-09-Seat-11,DIST-0009,ST-01,Hon. MP Arunima Ahuja,Lok Sabha
PC-0012,UTT-District-09-Seat-12,DIST-0009,ST-01,Hon. MP Nathaniel Sami,Lok Sabha
PC-0013,UTT-District-10-Seat-13,DIST-0010,ST-01,Hon. MP Harini Mall,Rajya Sabha
PC-0014,UTT-District-10-Seat-14,DIST-0010,ST-01,Hon. MP Nachiket Kale,Lok Sabha
PC-0015,UTT-District-11-Seat-15,DIST-0011,ST-01,Hon. MP Gayathri Chaudry,Lok Sabha
PC-0016,UTT-District-11-Seat-16,DIST-0011,ST-01,Hon. MP George Rai,Lok Sabha
PC-0017,UTT-District-12-Seat-17,DIST-0012,ST-01,Hon. MP Gunbir Parmer,Lok Sabha
PC-0018,UTT-District-13-Seat-18,DIST-0013,ST-01,Hon. MP Hemangini Lalla,Rajya Sabha
PC-0019,UTT-District-14-Seat-19,DIST-0014,ST-01,Hon. MP Caleb Sharaf,Lok Sabha
PC-0020,UTT-District-14-Seat-20,DIST-0014,ST-01,Hon. MP Jeet Radhakrishnan,Rajya Sabha
PC-0021,UTT-District-15-Seat-21,DIST-0015,ST-01,Hon. MP Farhan Memon,Lok Sabha
PC-0022,UTT-District-15-Seat-22,DIST-0015,ST-01,Hon. MP Janaki Handa,Lok Sabha
PC-0023,UTT-District-16-Seat-23,DIST-0016,ST-01,Hon. MP Ekaraj Bath,Lok Sabha
PC-0024,UTT-District-17-Seat-24,DIST-0017,ST-01,Hon. MP Vedant Mann,Lok Sabha
PC-0025,UTT-District-18-Seat-25,DIST-0018,ST-01,Hon. MP Fariq Kaul,Lok Sabha
PC-0026,UTT-District-18-Seat-26,DIST-0018,ST-01,Hon. MP Harrison Rai,Lok Sabha
PC-0027,UTT-District-19-Seat-27,DIST-0019,ST-01,Hon. MP Arunima Setty,Lok Sabha
PC-0028,UTT-District-20-Seat-28,DIST-0020,ST-01,Hon. MP Janya Gaba,Lok Sabha
PC-0029,UTT-District-21-Seat-29,DIST-0021,ST-01,Hon. MP Kamala Pant,Lok Sabha
PC-0030,UTT-District-21-Seat-30,DIST-0021,ST-01,Hon. MP Shaurya Loke,Lok Sabha
PC-0031,UTT-District-22-Seat-31,DIST-0022,ST-01,Hon. MP Ekbal Garg,Rajya Sabha
PC-0032,UTT-District-23-Seat-32,DIST-0023,ST-01,Hon. MP Yash Gade,Lok Sabha
PC-0033,UTT-District-23-Seat-33,DIST-0023,ST-01,Hon. MP Turvi Raghavan,Lok Sabha
PC-0034,UTT-District-24-Seat-34,DIST-0024,ST-01,Hon. MP Anamika Kanda,Lok Sabha
PC-0035,UTT-District-24-Seat-35,DIST-0024,ST-01,Hon. MP Ekta Bhalla,Lok Sabha
PC-0036,UTT-District-25-Seat-36,DIST-0025,ST-01,Hon. MP Veer Balay,Lok Sabha
