document_id,project_id,administrative_sanction,technical_sanction,dpr,work_order,measurement_book,utilization_certificate,completion_certificate,geo_tagged_photos,photo_count,required_document_count,available_document_count,missing_document_ratio,document_exists_flag,document_type,document_date,document_amount,document_entity,document_project_reference,document_database_match_score,document_amount_mismatch,document_date_mismatch,document_entity_mismatch,document_duplicate_hash,document_version_count,document_tampering_flag,ocr_confidence_score,data_completeness_score,missing_field_count,missing_critical_field_flag,data_validation_status,data_source,source_system,last_updated_timestamp,record_update_count,late_data_submission_flag,inconsistent_record_flag,cross_source_mismatch_flag,asset_id,asset_created_flag,asset_register_entry_flag,asset_location,asset_latitude,asset_longitude,asset_photo_available,asset_photo_date,asset_photo_count,asset_status,asset_verification_status,asset_project_link_match,asset_geo_consistency,asset_completion_evidence_score
DOC-000001,MPLADS-000001,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-12-14,2646000.0,KAR-District-01 - Water Supply & Sewerage Board,MPLADS-000001,0.98,0,0,0,SHA256-8cc58ed85707,1,0,0.946,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.874520+00:00,3,0,0,0,ASSET-000001,1,1,TAM-District-05 Sector 14,9.07608,77.42841,1,2023-07-16,4,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000002,MPLADS-000002,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2023-08-24,2475000.0,CHH-District-05 - Panchayati Raj Institution (PRI),MPLADS-000002,0.98,0,0,0,SHA256-c3b58dead8ca,1,0,0.966,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.874980+00:00,3,0,0,0,ASSET-000002,0,0,ASS-District-13 Sector 14,25.73962,95.11848,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000003,MPLADS-000003,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-02-23,721000.0,PUN-District-03 - Water Supply & Sewerage Board,MPLADS-000003,0.98,0,0,0,SHA256-f9197893bc8e,1,0,0.966,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.875352+00:00,3,0,0,0,ASSET-000003,0,0,TEL-District-24 Sector 4,16.61631,79.59492,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000004,MPLADS-000004,True,True,True,True,True,True,True,True,7,5,5,0.0,1,PDF_BUNDLE,2022-07-14,11824000.0,AND-District-14 - Public Works Department (PWD),MPLADS-000004,0.98,0,0,0,SHA256-d73b1900a9a7,1,0,0.885,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.875699+00:00,3,0,0,0,ASSET-000004,0,0,ASS-District-35 Sector 13,24.37501,95.62591,1,,7,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000005,MPLADS-000005,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-05-29,2447000.0,TAM-District-13 - Public Works Department (PWD),MPLADS-000005,0.98,0,0,0,SHA256-9f2634173860,1,0,0.95,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.876025+00:00,3,0,0,0,ASSET-000005,0,0,ODI-District-25 Sector 4,20.50653,82.89162,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000006,MPLADS-000006,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2023-10-16,1209000.0,CHH-District-07 - Municipal Corporation (MC),MPLADS-000006,0.98,0,0,0,SHA256-5d33ae05aa91,1,0,0.902,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.876350+00:00,3,0,0,0,ASSET-000006,1,1,UTT-District-68 Sector 9,29.70669,77.84259,1,2024-03-11,4,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000007,MPLADS-000007,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-03-26,3151000.0,GUJ-District-14 - Panchayati Raj Institution (PRI),MPLADS-000007,0.98,0,0,0,SHA256-861876d9524b,1,0,0.918,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.876669+00:00,3,0,0,0,ASSET-000007,0,0,CHH-District-22 Sector 11,19.9271,80.28345,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000008,MPLADS-000008,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-06-07,3869000.0,PUN-District-22 - Public Works Department (PWD),MPLADS-000008,0.98,0,0,0,SHA256-916acaff73bc,1,0,0.99,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.877008+00:00,3,0,0,0,ASSET-000008,0,0,HAR-District-17 Sector 7,27.80673,77.48903,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000009,MPLADS-000009,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2023-07-14,4108000.0,ASS-District-23 - Water Supply & Sewerage Board,MPLADS-000009,0.98,0,0,0,SHA256-62a2cdf1ce24,1,0,0.951,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.877320+00:00,3,0,0,0,ASSET-000009,0,0,TEL-District-20 Sector 2,17.29835,78.63939,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000010,MPLADS-000010,True,True,True,True,False,False,False,False,0,5,3,0.4,1,PDF_BUNDLE,2022-04-13,493000.0,UTT-District-16 - Water Supply & Sewerage Board,MPLADS-000010,0.65,0,0,0,SHA256-df62fab2bd86,1,0,0.974,0.6,2,1,DEFICIT,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.877629+00:00,3,0,1,0,ASSET-000010,0,0,MAD-District-16 Sector 11,26.08366,80.15689,0,,0,UNDER_CONSTRUCTION,PENDING,1,1,0.0
