project_id,fraud_label,is_fraud,is_anomalous,is_hard_negative,risk_level,scenario_type,scenario_name,overall_risk_score,investigation_priority
MPLADS-000001,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000002,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000003,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000004,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000005,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000006,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000007,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000008,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000009,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000010,1,1,1,0,HIGH,DOCUMENTATION_DEFICIT,DOCUMENTATION_DEFICIT,70.0,ELEVATED
MPLADS-000011,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000012,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000013,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000014,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000015,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000016,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000017,1,1,1,0,HIGH,PROCUREMENT_SINGLE_BID,PROCUREMENT_SINGLE_BID,70.0,ELEVATED
MPLADS-000018,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000019,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000020,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000021,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000022,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000023,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000024,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000025,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000026,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000027,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000028,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000029,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000030,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000031,0,0,0,1,LOW,LEGITIMATE_WEATHER_DELAY,LEGITIMATE_WEATHER_DELAY,20.0,ROUTINE
MPLADS-000032,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000033,1,1,1,0,HIGH,PROCUREMENT_SINGLE_BID,PROCUREMENT_SINGLE_BID,70.0,ELEVATED
MPLADS-000034,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000035,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000036,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000037,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
MPLADS-000038,1,1,1,0,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,SUSPICIOUS_CONTRACTOR_MONOPOLY,70.0,ELEVATED
MPLADS-000039,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000040,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000041,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000042,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000043,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000044,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000045,1,1,1,0,HIGH,ABANDONED_WORK,ABANDONED_WORK,70.0,ELEVATED
MPLADS-000046,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000047,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000048,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000049,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000050,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000051,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000052,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
MPLADS-000053,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000054,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000055,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000056,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000057,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000058,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000059,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000060,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000061,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000062,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000063,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000064,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
