feature,importance
total_rule_violation_count,0.120416740571437
progress_acceleration,0.0576643383144344
payment_violation_count,0.05321159560754896
project_velocity,0.047616112763624416
physical_velocity,0.04750373617440951
financial_physical_gap,0.04346714097159334
velocity_mismatch,0.04292931155702036
progress_deceleration,0.04159514148103173
physical_progress,0.03867709729221698
financial_velocity,0.02505262002085012
documentation_violation_count,0.023379548493230158
missing_mb_flag,0.019231617720834603
document_completeness_score,0.018634863551893234
unspent_amount,0.017432071076385846
release_to_sanction_ratio,0.014303990738530267
measurement_book_present,0.01400441104138915
missing_document_ratio,0.01384200605775614
cost_to_sanction_ratio,0.013713703073528493
balance_to_release_ratio,0.012404934849378673
sor_deviation_ratio,0.012034901708396169
procurement_risk_score,0.010745183022456431
utilization_ratio,0.010560969023795714
cost_overrun_amount,0.01046215293460314
actual_to_tender_ratio,0.010199654442516661
expenditure_to_sanction_ratio,0.010185794000446556
contractor_competitor_count,0.009975662624754182
delay_days,0.009739594127645202
bidder_price_similarity,0.009555843852686055
financial_progress,0.009504503410486248
payment_to_work_order_ratio,0.00908662875320068
single_bid_flag,0.008964052824005619
balance_to_sanction_ratio,0.008574711634958909
contractor_single_bid_win_rate,0.00775323967796315
financial_violation_count,0.007641440772411296
extension_count,0.007625851964581417
delay_ratio,0.007079821392540049
extension_duration_total,0.0067080058535894825
bid_count,0.006648385479074377
available_document_count,0.006596854512369448
actual_duration_days,0.006287289320529977
tender_competition_score,0.005927192415920236
bidder_concentration,0.00578054198794933
procurement_violation_count,0.0054741835554911475
photo_count,0.005024354378151397
geotag_photo_count,0.00455658397383377
missing_geotag_flag,0.003862479765115372
unique_photo_hash_count,0.003712610420778032
utilization_certificate_present,0.0036911060281755704
winning_bid_deviation,0.0036639952702164284
completion_certificate_present,0.0035099581003956524
district_project_density,0.003475924847591681
constituency_project_density,0.003449103201752976
poverty_rate,0.0033677843686306524
sanction_to_estimate_ratio,0.0033608533307505854
population_density,0.003354057792521038
missing_completion_cert_flag,0.0033513313946396065
contractor_irregularity_score,0.0032934539777399337
tender_to_estimate_ratio,0.003254647354829001
lowest_bid_deviation,0.0031967881299067957
contractor_past_irregularity_rate,0.0031842427055617743
second_lowest_bid_deviation,0.0031101464282078527
literacy_rate,0.003009071987384452
extension_frequency,0.0029356058246627105
payment_acceleration,0.002926913423717668
timeline_violation_count,0.002923173241384983
revised_estimate_ratio,0.0029040552087951643
revised_estimate_present,0.0028732934589600165
infrastructure_gap_score,0.002819438856121261
district_population,0.0028159020250027034
contractor_avg_payment_velocity,0.002731658267282765
largest_payment_amount,0.002701744934294229
released_amount,0.0026752014663008906
peer_cost_deviation_zscore,0.002583320755644139
expenditure_amount,0.002564865968601804
sanction_amount,0.0025371106752418073
payment_velocity,0.00252159272550027
critical_rule_violation_count,0.0024583757780889236
monthly_spending_zscore,0.0024157910021007202
cost_overrun_percentage,0.002410045351366909
quarterly_spending_zscore,0.0023645069165727003
contractor_max_project_value,0.0023052332621467785
estimated_cost,0.002268967142960672
contractor_total_value,0.0020946190696143952
contractor_average_project_value,0.0020040027544696755
completion_violation_count,0.001567689727457044
missing_uc_flag,0.0014661639886556221
payment_concentration_index,0.0014058142410560911
largest_payment_percentage,0.0013328505065793373
payment_before_progress_ratio,0.0010394748410689622
monthly_spending_variance,0.0002454867882506068
payment_count,0.0001533435546606219
payment_frequency,0.00011305467314538642
rapid_payment_sequence_flag,0.00011024323020190893
round_amount_flag,0.00010852623444581661
dpr_present,0.0
estimate_present,0.0
days_from_work_order_to_first_progress,0.0
technical_sanction_present,0.0
sanction_document_present,0.0
document_consistency_score,0.0
contractor_district_count,0.0
days_between_payments,0.0
time_since_last_payment,0.0
time_since_last_inspection,0.0
bid_document_present,0.0
time_since_last_progress_update,0.0
geo_distance_mismatch_km,0.0
is_high_density_cluster,0.0
contractor_district_distance_km,0.0
tender_document_present,0.0
site_verification_present,0.0
work_order_present,0.0
document_date_consistency,0.0
expenditure_to_release_ratio,0.0
payment_to_completion_ratio,0.0
eligibility_violation_count,0.0
required_document_count,0.0
missing_date_count,0.0
document_sequence_consistency,0.0
repeated_amount_flag,0.0
invoice_present,0.0
status_change_frequency,0.0
inspection_report_present,0.0
planned_duration_days,0.0
days_from_sanction_to_work_order,0.0
